2022-02-18T16-04-21,35209,MEDHELP PC,02/17/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,35209,MEDHELP PC,02/21/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,35209,MEDHELP PC,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,,
2022-03-08T14-40-56,35209,MEDHELP PC,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,,
2022-04-29T05-13-54,35209,MEDHELP PC,NLP,NLP,NLP,18,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,35209,MEDHELP PC,NLP,NLP,NLP,18,04/28/2022 12:00:00 AM
2022-05-01T05-13-51,35209,MEDHELP PC,NLP,NLP,NLP,18,04/28/2022 12:00:00 AM
2022-05-02T06-02-50,35209,MEDHELP PC,NLP,NLP,NLP,18,04/28/2022 12:00:00 AM
2022-05-03T06-05-23,35209,MEDHELP PC,NLP,NLP,NLP,18,04/28/2022 12:00:00 AM
2022-05-04T05-12-02,35209,MEDHELP PC,NLP,NLP,NLP,18,04/28/2022 12:00:00 AM
2022-05-05T09-49-47,35209,MEDHELP PC,NLP,NLP,NLP,18,04/28/2022 12:00:00 AM
2022-05-06T06-12-41,35209,MEDHELP PC,NLP,NLP,NLP,35,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,35209,MEDHELP PC,NLP,NLP,NLP,35,05/05/2022 12:00:00 AM
2022-05-08T10-02-59,35209,MEDHELP PC,NLP,NLP,NLP,35,05/05/2022 12:00:00 AM
2022-05-09T05-08-14,35209,MEDHELP PC,NLP,NLP,NLP,35,05/05/2022 12:00:00 AM
2022-05-10T06-06-54,35209,MEDHELP PC,NLP,NLP,NLP,35,05/05/2022 12:00:00 AM
2022-05-11T06-51-12,35209,MEDHELP PC,NLP,NLP,NLP,35,05/05/2022 12:00:00 AM
2022-05-12T07-16-49,35209,MEDHELP PC,NLP,NLP,NLP,35,05/05/2022 12:00:00 AM
2022-05-13T06-07-31,35209,MEDHELP PC,NLP,NLP,NLP,25,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,35209,MEDHELP PC,NLP,NLP,NLP,25,05/12/2022 12:00:00 AM
2022-05-15T05-54-13,35209,MEDHELP PC,NLP,NLP,NLP,25,05/12/2022 12:00:00 AM
2022-05-16T05-54-24,35209,MEDHELP PC,NLP,NLP,NLP,25,05/12/2022 12:00:00 AM
2022-05-17T05-27-38,35209,MEDHELP PC,NLP,NLP,NLP,13,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,35209,MEDHELP PC,NLP,NLP,NLP,2,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,35209,MEDHELP PC,NLP,NLP,NLP,4,05/19/2022 12:00:00 AM
