2022-03-08T14-40-56,92227,PIONEERS MEMORIAL HEALTHCARE DISTRI,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,10,,
2022-04-05T05-48-33,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-06T05-45-18,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-07T05-34-07,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-08T05-48-29,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-09T05-41-09,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-10T09-31-27,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-11T07-06-23,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-12T07-06-55,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-13T09-20-57,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-13T11-55-39,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-14T09-18-06,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-15T06-03-51,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-16T05-33-42,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-17T05-32-24,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-18T05-31-10,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-19T05-39-24,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-20T05-27-37,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-21T05-29-54,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-22T05-26-18,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-23T05-25-10,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-24T05-22-24,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-25T05-22-33,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-26T05-20-54,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-27T05-23-49,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-28T09-22-45,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-29T05-13-54,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-30T05-15-55,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-01T05-13-51,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-02T06-02-50,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-03T06-05-23,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-04T05-12-02,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-05T09-49-47,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-06T06-12-41,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-07T05-45-31,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-08T10-02-59,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-09T05-08-14,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-10T06-06-54,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-11T06-51-12,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-12T07-16-49,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-13T06-07-31,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-14T08-49-14,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-15T05-54-13,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-16T05-54-24,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-17T05-27-38,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-18T05-40-23,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-19T05-25-31,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-20T05-59-40,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-21T05-54-21,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-22T09-07-10,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-23T07-42-39,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-23T07-42-39,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-23T07-42-39,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-05-23T07-42-39,92227,All Valley Urgent Care Brawley,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
