2022-02-18T16-04-21,77555,UTMB UNIVERSITY OF TEXAS MED BRANCH,02/15/2022 12:00:00 AM,,90,,
2022-03-03T09-56-49,77555,UTMB UNIVERSITY OF TEXAS MED BRANCH,02/21/2022 12:00:00 AM,,110,,
2022-03-03T10-04-44,77555,UTMB UNIVERSITY OF TEXAS MED BRANCH,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,110,,
2022-03-08T14-40-56,77555,UTMB UNIVERSITY OF TEXAS MED BRANCH,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,110,,
2022-04-07T05-34-07,77555,UTMB UNIVERSITY OF TEXAS MED BRANCH,NLP,NLP,NLP,50,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,77555,UTMB UNIVERSITY OF TEXAS MED BRANCH,NLP,NLP,NLP,50,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,77555,UTMB UNIVERSITY OF TEXAS MED BRANCH,NLP,NLP,NLP,50,04/06/2022 12:00:00 AM
2022-04-10T09-31-27,77555,UTMB UNIVERSITY OF TEXAS MED BRANCH,NLP,NLP,NLP,50,04/06/2022 12:00:00 AM
2022-04-11T07-06-23,77555,UTMB UNIVERSITY OF TEXAS MED BRANCH,NLP,NLP,NLP,50,04/06/2022 12:00:00 AM
2022-04-12T07-06-55,77555,UTMB UNIVERSITY OF TEXAS MED BRANCH,NLP,NLP,NLP,50,04/06/2022 12:00:00 AM
2022-04-13T09-20-57,77555,UTMB UNIVERSITY OF TEXAS MED BRANCH,NLP,NLP,NLP,50,04/06/2022 12:00:00 AM
2022-04-13T11-55-39,77555,UTMB UNIVERSITY OF TEXAS MED BRANCH,NLP,NLP,NLP,50,04/06/2022 12:00:00 AM
