2022-02-18T16-04-21,15824,Guardian Healthcare Pharmacy,02/16/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,15824,Guardian Healthcare Pharmacy,02/28/2022 12:00:00 AM,,20,10,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,15824,Guardian Healthcare Pharmacy,02/28/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,10,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,15824,Guardian Healthcare Pharmacy,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,15824,Guardian Healthcare Pharmacy,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,15824,Guardian Healthcare Pharmacy,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,15824,Guardian Healthcare Pharmacy,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,15824,Guardian Healthcare Pharmacy,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,15824,Guardian Healthcare Pharmacy,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,15824,Guardian Healthcare Pharmacy,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,15824,Guardian Healthcare Pharmacy,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,15824,Guardian Healthcare Pharmacy,NLP,NLP,NLP,20,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,15824,Guardian Healthcare Pharmacy,NLP,NLP,NLP,20,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,15824,Guardian Healthcare Pharmacy,NLP,NLP,NLP,20,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,15824,Guardian Healthcare Pharmacy,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,15824,Guardian Healthcare Pharmacy,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,15824,Guardian Healthcare Pharmacy,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,15824,Guardian Healthcare Pharmacy,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,15824,Guardian Healthcare Pharmacy,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,15824,Guardian Healthcare Pharmacy,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,15824,Guardian Healthcare Pharmacy,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,15824,Guardian Healthcare Pharmacy,NLP,NLP,NLP,20,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,15824,Guardian Healthcare Pharmacy,NLP,NLP,NLP,20,03/26/2022 12:00:00 AM
2022-03-28T06-21-17,15824,Guardian Healthcare Pharmacy,NLP,NLP,NLP,20,03/27/2022 12:00:00 AM
2022-03-29T08-50-48,15824,Guardian Healthcare Pharmacy,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,15824,Guardian Healthcare Pharmacy,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
