2022-03-08T14-40-56,06032,UConn Health Center John Dempsey,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,25,15,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,06032,UConn Health Center John Dempsey,NLP,NLP,NLP,25,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,06032,UConn Health Center John Dempsey,NLP,NLP,NLP,25,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,06032,UConn Health Center John Dempsey,NLP,NLP,NLP,25,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,06032,UConn Health Center John Dempsey,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,06032,UConn Health Center John Dempsey,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,06032,UConn Health Center John Dempsey,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,06032,UConn Health Center John Dempsey,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,06032,UConn Health Center John Dempsey,NLP,NLP,NLP,25,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,06032,UConn Health Center John Dempsey,NLP,NLP,NLP,25,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,06032,UConn Health Center John Dempsey,NLP,NLP,NLP,25,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,06032,UConn Health Center John Dempsey,NLP,NLP,NLP,25,03/20/2022 12:00:00 AM
2022-03-22T09-16-18,06032,UConn Health Center John Dempsey,NLP,NLP,NLP,25,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,06032,UConn Health Center John Dempsey,NLP,NLP,NLP,24,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,06032,UConn Health Center John Dempsey,NLP,NLP,NLP,24,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,06032,UConn Health Center John Dempsey,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,06032,UConn Health Center John Dempsey,NLP,NLP,NLP,24,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,06032,UConn Health Center John Dempsey,NLP,NLP,NLP,23,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,06032,UConn Health Center John Dempsey,NLP,NLP,NLP,23,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,06032,UConn Health Center John Dempsey,NLP,NLP,NLP,23,03/27/2022 12:00:00 AM
2022-03-28T06-21-17,06032,UConn Health Center John Dempsey,NLP,NLP,NLP,23,03/27/2022 12:00:00 AM
2022-03-29T08-50-48,06032,UConn Health Center John Dempsey,NLP,NLP,NLP,23,03/28/2022 12:00:00 AM
