2022-02-18T16-04-21,66044,LAWRENCE MEMORIAL HOSPITAL,02/14/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,66044,LAWRENCE MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,,25,15,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,66044,LAWRENCE MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,25,25,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,66044,LAWRENCE MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,25,25,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/19/2022 12:00:00 AM
2022-03-21T14-18-38,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/19/2022 12:00:00 AM
2022-03-21T16-35-27,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/19/2022 12:00:00 AM
2022-03-22T09-16-18,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-24T07-49-11,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/28/2022 12:00:00 AM
2022-03-31T15-09-22,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/28/2022 12:00:00 AM
2022-04-01T06-54-45,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,24,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/08/2022 12:00:00 AM
2022-04-13T09-20-57,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/08/2022 12:00:00 AM
2022-04-13T11-55-39,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/08/2022 12:00:00 AM
2022-04-14T09-18-06,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,23,04/13/2022 12:00:00 AM
2022-04-16T05-33-42,66044,LAWRENCE MEMORIAL HOSPITAL,NLP,NLP,NLP,19,04/15/2022 12:00:00 AM
