2022-02-18T16-04-21,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,02/17/2022 12:00:00 AM,,10,0,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,02/24/2022 12:00:00 AM,,30,30,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,30,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,50,30,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,80,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,60,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,60,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,80,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,80,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,80,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,80,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,80,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,80,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,80,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,109,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,109,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,139,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,139,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,136,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,136,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,135,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,135,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,135,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,135,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,135,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,135,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,135,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,135,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,135,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,135,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,135,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,135,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,154,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,154,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,152,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,10032,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,NLP,NLP,NLP,151,04/07/2022 12:00:00 AM
