2022-02-18T16-04-21,88240,COVENANT HEALTH HOBBS(Lea Regional),02/17/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,88240,COVENANT HEALTH HOBBS(Lea Regional),02/28/2022 12:00:00 AM,,10,,
2022-03-03T10-04-44,88240,COVENANT HEALTH HOBBS(Lea Regional),02/28/2022 12:00:00 AM,02/22/2022 12:00:00 AM,10,,
2022-03-08T14-40-56,88240,COVENANT HEALTH HOBBS(Lea Regional),03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,15,,
2022-04-28T09-22-45,88240,COVENANT HEALTH HOBBS(Lea Regional),NLP,NLP,NLP,36,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,88240,COVENANT HEALTH HOBBS(Lea Regional),NLP,NLP,NLP,36,04/27/2022 12:00:00 AM
2022-04-30T05-15-55,88240,COVENANT HEALTH HOBBS(Lea Regional),NLP,NLP,NLP,36,04/27/2022 12:00:00 AM
2022-05-01T05-13-51,88240,COVENANT HEALTH HOBBS(Lea Regional),NLP,NLP,NLP,36,04/27/2022 12:00:00 AM
2022-05-02T06-02-50,88240,COVENANT HEALTH HOBBS(Lea Regional),NLP,NLP,NLP,36,04/27/2022 12:00:00 AM
2022-05-03T06-05-23,88240,COVENANT HEALTH HOBBS(Lea Regional),NLP,NLP,NLP,36,04/27/2022 12:00:00 AM
2022-05-04T05-12-02,88240,COVENANT HEALTH HOBBS(Lea Regional),NLP,NLP,NLP,36,04/27/2022 12:00:00 AM
2022-05-05T09-49-47,88240,COVENANT HEALTH HOBBS(Lea Regional),NLP,NLP,NLP,36,04/27/2022 12:00:00 AM
