2022-02-18T16-04-21,55902,MAYO ROCHESTER METHODIST HOSPITAL,02/18/2022 12:00:00 AM,,70,,
2022-03-03T09-56-49,55902,MAYO ROCHESTER METHODIST HOSPITAL,02/23/2022 12:00:00 AM,,290,,
2022-03-03T10-04-44,55902,MAYO ROCHESTER METHODIST HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,290,,
2022-03-08T14-40-56,55902,MAYO ROCHESTER METHODIST HOSPITAL,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,500,290,03/03/2022 12:00:00 AM
2022-03-18T11-17-38,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,718,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,718,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,718,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,718,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,718,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,718,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,718,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,917,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,917,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,917,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,917,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,858,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,858,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,843,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,843,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,843,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,843,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,828,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,814,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,812,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,812,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,808,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,783,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,783,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,783,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,724,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,719,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,687,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,671,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,671,04/07/2022 12:00:00 AM
2022-04-10T09-31-27,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,671,04/07/2022 12:00:00 AM
2022-04-11T07-06-23,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,671,04/07/2022 12:00:00 AM
2022-04-12T07-06-55,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,814,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,788,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,788,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,781,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,744,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,677,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,677,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,677,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,878,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,855,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,798,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,772,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,710,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,710,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,710,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,850,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,55902,MAYO ROCHESTER METHODIST HOSPITAL,NLP,NLP,NLP,821,04/26/2022 12:00:00 AM
