2022-03-08T14-40-56,80033,The IV Den,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,200,,
2022-03-08T14-40-56,80033,BLOOM HEALTHCARE,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,5,,
2022-03-18T09-58-11,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-24T07-49-11,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-24T13-46-29,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-25T08-10-53,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-25T08-10-53,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-28T06-21-17,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/27/2022 12:00:00 AM
2022-03-29T08-50-48,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-29T08-50-48,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-30T09-27-07,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-31T08-53-07,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-31T15-09-22,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-04-01T06-54-45,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-04-02T06-05-59,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-04-03T05-51-54,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,03/31/2022 12:00:00 AM
2022-04-04T05-38-24,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-04-04T05-38-24,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,04/03/2022 12:00:00 AM
2022-04-05T05-48-33,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-04-06T05-45-18,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-09T05-41-09,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-10T09-31-27,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,04/07/2022 12:00:00 AM
2022-04-10T09-31-27,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-11T07-06-23,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,04/10/2022 12:00:00 AM
2022-04-11T07-06-23,80033,RTW COVID and Viral Testing Denver,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-12T07-06-55,80033,BLOOM HEALTHCARE,NLP,NLP,NLP,5,04/11/2022 12:00:00 AM
