2022-02-18T16-04-21,53581,THE RICHLAND HOSPITAL INC. - COVID,02/16/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,53581,THE RICHLAND HOSPITAL INC. - COVID,02/28/2022 12:00:00 AM,,30,,
2022-03-03T10-04-44,53581,THE RICHLAND HOSPITAL INC. - COVID,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,53581,THE RICHLAND HOSPITAL INC. - COVID,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,30,,
2022-05-04T05-12-02,53581,THE RICHLAND HOSPITAL INC. - COVID,NLP,NLP,NLP,58,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,53581,THE RICHLAND HOSPITAL INC. - COVID,NLP,NLP,NLP,58,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,53581,THE RICHLAND HOSPITAL INC. - COVID,NLP,NLP,NLP,58,05/03/2022 12:00:00 AM
2022-05-07T05-45-31,53581,THE RICHLAND HOSPITAL INC. - COVID,NLP,NLP,NLP,58,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,53581,THE RICHLAND HOSPITAL INC. - COVID,NLP,NLP,NLP,58,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,53581,THE RICHLAND HOSPITAL INC. - COVID,NLP,NLP,NLP,58,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,53581,THE RICHLAND HOSPITAL INC. - COVID,NLP,NLP,NLP,58,05/06/2022 12:00:00 AM
2022-05-11T06-51-12,53581,THE RICHLAND HOSPITAL INC. - COVID,NLP,NLP,NLP,58,05/06/2022 12:00:00 AM
