2022-02-18T16-04-21,13903,UHS Binghamton General Hospital,02/17/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,13903,UHS Binghamton General Hospital,02/24/2022 12:00:00 AM,,25,,
2022-03-03T10-04-44,13903,UHS Binghamton General Hospital,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,,
2022-03-08T14-40-56,13903,UHS Binghamton General Hospital,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,25,03/03/2022 12:00:00 AM
2022-03-18T11-17-38,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,23,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,23,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-24T07-49-11,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-24T13-46-29,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-25T08-10-53,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-28T06-21-17,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-29T08-50-48,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-30T09-27-07,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-31T08-53-07,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-31T15-09-22,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-01T06-54-45,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-02T06-05-59,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-03T05-51-54,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-04T05-38-24,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-05T05-48-33,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-06T05-45-18,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-07T05-34-07,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-08T05-48-29,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-09T05-41-09,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-10T09-31-27,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-11T07-06-23,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-12T07-06-55,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-13T09-20-57,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-13T11-55-39,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-14T09-18-06,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-15T06-03-51,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-16T05-33-42,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-17T05-32-24,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-18T05-31-10,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-19T05-39-24,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-20T05-27-37,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-21T05-29-54,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-22T05-26-18,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,19,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,13903,UHS Binghamton General Hospital,NLP,NLP,NLP,19,04/21/2022 12:00:00 AM
