2022-02-18T16-04-21,72830,JOHNSON REGIONAL MEDICAL CENTER,02/17/2022 12:00:00 AM,,10,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,72830,JOHNSON REGIONAL MEDICAL CENTER,02/22/2022 12:00:00 AM,,35,35,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,72830,JOHNSON REGIONAL MEDICAL CENTER,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,35,35,02/28/2022 12:00:00 AM
2022-03-08T14-40-56,72830,JOHNSON REGIONAL MEDICAL CENTER,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,35,35,02/28/2022 12:00:00 AM
2022-03-29T08-50-48,72830,JOHNSON REGIONAL MEDICAL CENTER,NLP,NLP,NLP,35,02/28/2022 12:00:00 AM
2022-03-30T09-27-07,72830,JOHNSON REGIONAL MEDICAL CENTER,NLP,NLP,NLP,35,02/28/2022 12:00:00 AM
2022-03-31T08-53-07,72830,JOHNSON REGIONAL MEDICAL CENTER,NLP,NLP,NLP,35,02/28/2022 12:00:00 AM
2022-03-31T15-09-22,72830,JOHNSON REGIONAL MEDICAL CENTER,NLP,NLP,NLP,35,02/28/2022 12:00:00 AM
2022-04-01T06-54-45,72830,JOHNSON REGIONAL MEDICAL CENTER,NLP,NLP,NLP,35,02/28/2022 12:00:00 AM
2022-04-02T06-05-59,72830,JOHNSON REGIONAL MEDICAL CENTER,NLP,NLP,NLP,35,02/28/2022 12:00:00 AM
2022-04-03T05-51-54,72830,JOHNSON REGIONAL MEDICAL CENTER,NLP,NLP,NLP,35,02/28/2022 12:00:00 AM
2022-04-04T05-38-24,72830,JOHNSON REGIONAL MEDICAL CENTER,NLP,NLP,NLP,35,02/28/2022 12:00:00 AM
2022-04-05T05-48-33,72830,JOHNSON REGIONAL MEDICAL CENTER,NLP,NLP,NLP,35,02/28/2022 12:00:00 AM
2022-04-06T05-45-18,72830,JOHNSON REGIONAL MEDICAL CENTER,NLP,NLP,NLP,35,02/28/2022 12:00:00 AM
