2022-02-18T16-04-21,82001,Cheyenne Regional Medical Center,02/16/2022 12:00:00 AM,,35,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,82001,Cheyenne Regional Medical Center,02/23/2022 12:00:00 AM,,55,55,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,82001,Cheyenne Regional Medical Center,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,55,55,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,82001,Cheyenne Regional Medical Center,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,55,55,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,82001,Cheyenne Regional Medical Center,NLP,NLP,NLP,55,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,82001,Cheyenne Regional Medical Center,NLP,NLP,NLP,53,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,82001,Cheyenne Regional Medical Center,NLP,NLP,NLP,53,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,82001,Cheyenne Regional Medical Center,NLP,NLP,NLP,53,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,82001,Cheyenne Regional Medical Center,NLP,NLP,NLP,53,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,82001,Cheyenne Regional Medical Center,NLP,NLP,NLP,53,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,82001,Cheyenne Regional Medical Center,NLP,NLP,NLP,53,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,82001,Cheyenne Regional Medical Center,NLP,NLP,NLP,53,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,82001,Cheyenne Regional Medical Center,NLP,NLP,NLP,53,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,82001,Cheyenne Regional Medical Center,NLP,NLP,NLP,53,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,82001,Cheyenne Regional Medical Center,NLP,NLP,NLP,53,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,82001,Cheyenne Regional Medical Center,NLP,NLP,NLP,53,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,82001,Cheyenne Regional Medical Center,NLP,NLP,NLP,53,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,82001,Cheyenne Regional Medical Center,NLP,NLP,NLP,53,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,82001,Cheyenne Regional Medical Center,NLP,NLP,NLP,53,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,82001,Cheyenne Regional Medical Center,NLP,NLP,NLP,53,03/24/2022 12:00:00 AM
