2022-02-18T16-04-21,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,02/14/2022 12:00:00 AM,,5,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,02/21/2022 12:00:00 AM,,15,12,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,12,02/28/2022 12:00:00 AM
2022-03-08T14-40-56,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,12,02/28/2022 12:00:00 AM
2022-03-16T18-51-35,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-29T08-50-48,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-30T09-27-07,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-31T08-53-07,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-31T15-09-22,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-04-01T06-54-45,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-04-02T06-05-59,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-04-03T05-51-54,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-04-04T05-38-24,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-04-05T05-48-33,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-04-06T05-45-18,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-04-07T05-34-07,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-04-08T05-48-29,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-04-09T05-41-09,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-04-10T09-31-27,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-04-11T07-06-23,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-04-12T07-06-55,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-04-13T09-20-57,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-04-13T11-55-39,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-04-14T09-18-06,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-04-15T06-03-51,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-04-16T05-33-42,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-04-17T05-32-24,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-04-18T05-31-10,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-04-19T05-39-24,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-04-20T05-27-37,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,5,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,5,04/19/2022 12:00:00 AM
2022-04-22T05-26-18,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,5,04/19/2022 12:00:00 AM
2022-04-23T05-25-10,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,5,04/19/2022 12:00:00 AM
2022-04-24T05-22-24,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,5,04/19/2022 12:00:00 AM
2022-04-25T05-22-33,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,5,04/19/2022 12:00:00 AM
2022-04-26T05-20-54,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,5,04/19/2022 12:00:00 AM
2022-04-27T05-23-49,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,5,04/19/2022 12:00:00 AM
2022-04-28T09-22-45,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,5,04/19/2022 12:00:00 AM
2022-04-29T05-13-54,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,5,04/19/2022 12:00:00 AM
2022-04-30T05-15-55,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,5,04/19/2022 12:00:00 AM
2022-05-01T05-13-51,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,5,04/19/2022 12:00:00 AM
2022-05-02T06-02-50,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,5,04/19/2022 12:00:00 AM
2022-05-03T06-05-23,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,5,04/19/2022 12:00:00 AM
2022-05-04T05-12-02,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,2,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,2,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,2,05/03/2022 12:00:00 AM
2022-05-07T05-45-31,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,2,05/03/2022 12:00:00 AM
2022-05-08T10-02-59,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,2,05/03/2022 12:00:00 AM
2022-05-09T05-08-14,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,2,05/03/2022 12:00:00 AM
2022-05-10T06-06-54,66204,ADVENTHEALTH SHAWNEE MISSION HSPTL,NLP,NLP,NLP,2,05/03/2022 12:00:00 AM
