2022-03-08T14-40-56,48237,Oak Park Urgent Care,03/04/2022 12:00:00 AM,,10,,
2022-03-30T09-27-07,48237,Oak Park Urgent Care,NLP,NLP,NLP,10,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,48237,Oak Park Urgent Care,NLP,NLP,NLP,10,03/29/2022 12:00:00 AM
2022-03-31T15-09-22,48237,Oak Park Urgent Care,NLP,NLP,NLP,10,03/29/2022 12:00:00 AM
2022-04-01T06-54-45,48237,Oak Park Urgent Care,NLP,NLP,NLP,10,03/29/2022 12:00:00 AM
2022-04-02T06-05-59,48237,Oak Park Urgent Care,NLP,NLP,NLP,10,03/29/2022 12:00:00 AM
2022-04-03T05-51-54,48237,Oak Park Urgent Care,NLP,NLP,NLP,10,03/29/2022 12:00:00 AM
2022-04-04T05-38-24,48237,Oak Park Urgent Care,NLP,NLP,NLP,10,04/03/2022 12:00:00 AM
2022-04-05T05-48-33,48237,Oak Park Urgent Care,NLP,NLP,NLP,10,04/03/2022 12:00:00 AM
2022-04-06T05-45-18,48237,Oak Park Urgent Care,NLP,NLP,NLP,10,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,48237,Oak Park Urgent Care,NLP,NLP,NLP,10,04/05/2022 12:00:00 AM
2022-04-08T05-48-29,48237,Oak Park Urgent Care,NLP,NLP,NLP,10,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,48237,Oak Park Urgent Care,NLP,NLP,NLP,10,04/07/2022 12:00:00 AM
2022-04-10T09-31-27,48237,Oak Park Urgent Care,NLP,NLP,NLP,10,04/07/2022 12:00:00 AM
2022-04-11T07-06-23,48237,Oak Park Urgent Care,NLP,NLP,NLP,10,04/10/2022 12:00:00 AM
