2022-02-18T16-04-21,34748,LEESBURG REG MED CTR INC,02/17/2022 12:00:00 AM,,250,,
2022-03-03T09-56-49,34748,LEESBURG REG MED CTR INC,02/25/2022 12:00:00 AM,,350,,
2022-03-03T10-04-44,34748,LEESBURG REG MED CTR INC,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,350,,
2022-03-08T14-40-56,34748,Leesburg Regional Medical Center,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,350,,
2022-03-16T18-51-35,34748,UF HEALTH LEESBURG HOSPITAL,NLP,NLP,NLP,150,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,34748,UF HEALTH LEESBURG HOSPITAL,NLP,NLP,NLP,150,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,34748,UF HEALTH LEESBURG HOSPITAL,NLP,NLP,NLP,150,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,34748,UF HEALTH LEESBURG HOSPITAL,NLP,NLP,NLP,150,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,34748,UF HEALTH LEESBURG HOSPITAL,NLP,NLP,NLP,150,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,34748,UF HEALTH LEESBURG HOSPITAL,NLP,NLP,NLP,150,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,34748,UF HEALTH LEESBURG HOSPITAL,NLP,NLP,NLP,150,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,34748,UF HEALTH LEESBURG HOSPITAL,NLP,NLP,NLP,150,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,34748,UF HEALTH LEESBURG HOSPITAL,NLP,NLP,NLP,150,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,34748,UF HEALTH LEESBURG HOSPITAL,NLP,NLP,NLP,150,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,34748,UF HEALTH LEESBURG HOSPITAL,NLP,NLP,NLP,150,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,34748,UF HEALTH LEESBURG HOSPITAL,NLP,NLP,NLP,150,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,34748,UF HEALTH LEESBURG HOSPITAL,NLP,NLP,NLP,150,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,34748,UF HEALTH LEESBURG HOSPITAL,NLP,NLP,NLP,150,03/16/2022 12:00:00 AM
2022-03-26T06-57-27,34748,UF HEALTH LEESBURG HOSPITAL,NLP,NLP,NLP,150,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,34748,UF HEALTH LEESBURG HOSPITAL,NLP,NLP,NLP,150,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,34748,UF HEALTH LEESBURG HOSPITAL,NLP,NLP,NLP,150,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,34748,UF HEALTH LEESBURG HOSPITAL,NLP,NLP,NLP,150,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,34748,UF HEALTH LEESBURG HOSPITAL,NLP,NLP,NLP,150,03/28/2022 12:00:00 AM
