2022-02-18T16-04-21,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,02/16/2022 12:00:00 AM,,15,,
2022-03-03T09-56-49,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,02/23/2022 12:00:00 AM,,25,15,02/23/2022 12:00:00 AM
2022-03-03T10-04-44,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,15,02/23/2022 12:00:00 AM
2022-03-08T14-40-56,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,25,03/03/2022 12:00:00 AM
2022-03-29T08-50-48,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,NLP,NLP,NLP,25,03/03/2022 12:00:00 AM
2022-03-30T09-27-07,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,NLP,NLP,NLP,25,03/03/2022 12:00:00 AM
2022-03-31T08-53-07,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,NLP,NLP,NLP,25,03/03/2022 12:00:00 AM
2022-03-31T15-09-22,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,NLP,NLP,NLP,25,03/03/2022 12:00:00 AM
2022-04-01T06-54-45,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,NLP,NLP,NLP,25,03/03/2022 12:00:00 AM
2022-04-02T06-05-59,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,NLP,NLP,NLP,25,03/03/2022 12:00:00 AM
2022-04-03T05-51-54,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,NLP,NLP,NLP,25,03/03/2022 12:00:00 AM
2022-04-04T05-38-24,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,NLP,NLP,NLP,25,03/03/2022 12:00:00 AM
2022-04-05T05-48-33,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,NLP,NLP,NLP,25,03/03/2022 12:00:00 AM
2022-04-06T05-45-18,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,NLP,NLP,NLP,25,03/03/2022 12:00:00 AM
2022-04-07T05-34-07,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,NLP,NLP,NLP,25,03/03/2022 12:00:00 AM
2022-04-08T05-48-29,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,NLP,NLP,NLP,25,03/03/2022 12:00:00 AM
2022-04-09T05-41-09,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,NLP,NLP,NLP,25,03/03/2022 12:00:00 AM
2022-04-10T09-31-27,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,NLP,NLP,NLP,25,03/03/2022 12:00:00 AM
2022-04-11T07-06-23,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,NLP,NLP,NLP,25,03/03/2022 12:00:00 AM
2022-04-12T07-06-55,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,NLP,NLP,NLP,25,03/03/2022 12:00:00 AM
2022-04-13T09-20-57,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,NLP,NLP,NLP,64,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,NLP,NLP,NLP,64,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,NLP,NLP,NLP,64,04/12/2022 12:00:00 AM
2022-04-15T06-03-51,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,NLP,NLP,NLP,64,04/12/2022 12:00:00 AM
2022-04-16T05-33-42,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,NLP,NLP,NLP,64,04/12/2022 12:00:00 AM
2022-04-17T05-32-24,39202,MISSISSIPPI BAPTIST MEDICAL CENTER,NLP,NLP,NLP,64,04/12/2022 12:00:00 AM
