2022-02-18T16-04-21,13856,Delaware Valley Hospital Inc,02/17/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,13856,Delaware Valley Hospital Inc,02/24/2022 12:00:00 AM,,20,,
2022-03-03T10-04-44,13856,Delaware Valley Hospital Inc,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,20,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,13856,Delaware Valley Hospital Inc,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,20,03/04/2022 12:00:00 AM
2022-03-16T18-51-35,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T11-03-37,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T15-22-50,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-19T08-15-59,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-29T08-50-48,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-30T09-27-07,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-31T08-53-07,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-31T15-09-22,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-04-01T06-54-45,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,68,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,68,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,68,03/31/2022 12:00:00 AM
2022-04-04T05-38-24,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,68,03/31/2022 12:00:00 AM
2022-04-05T05-48-33,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,68,03/31/2022 12:00:00 AM
2022-04-06T05-45-18,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,68,03/31/2022 12:00:00 AM
2022-04-07T05-34-07,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,68,03/31/2022 12:00:00 AM
2022-04-08T05-48-29,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,68,03/31/2022 12:00:00 AM
2022-04-09T05-41-09,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,68,03/31/2022 12:00:00 AM
2022-04-10T09-31-27,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,68,03/31/2022 12:00:00 AM
2022-04-11T07-06-23,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,68,03/31/2022 12:00:00 AM
2022-04-12T07-06-55,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,68,03/31/2022 12:00:00 AM
2022-04-13T09-20-57,13856,Delaware Valley Hospital Inc,NLP,NLP,NLP,68,03/31/2022 12:00:00 AM
