2022-02-18T16-04-21,99204,MULTICARE DEACONESS HOSPITAL,02/17/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,99204,MULTICARE DEACONESS HOSPITAL,02/28/2022 12:00:00 AM,,30,,
2022-03-03T10-04-44,99204,MULTICARE DEACONESS HOSPITAL,02/28/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,99204,MULTICARE DEACONESS HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,30,,
2022-04-06T05-45-18,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-08T05-48-29,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,15,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,15,04/07/2022 12:00:00 AM
2022-04-10T09-31-27,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,15,04/07/2022 12:00:00 AM
2022-04-11T07-06-23,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,15,04/07/2022 12:00:00 AM
2022-04-12T07-06-55,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,15,04/07/2022 12:00:00 AM
2022-04-13T09-20-57,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,15,04/07/2022 12:00:00 AM
2022-04-13T11-55-39,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,15,04/07/2022 12:00:00 AM
2022-04-14T09-18-06,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,15,04/07/2022 12:00:00 AM
2022-04-15T06-03-51,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,14,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,14,04/14/2022 12:00:00 AM
2022-04-17T05-32-24,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,14,04/14/2022 12:00:00 AM
2022-04-18T05-31-10,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,14,04/14/2022 12:00:00 AM
2022-04-19T05-39-24,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,4,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,4,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,13,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,13,04/20/2022 12:00:00 AM
2022-04-23T05-25-10,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,4,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,4,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,4,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,4,04/22/2022 12:00:00 AM
2022-04-27T05-23-49,99204,PROVIDENCE SACRED HEART MEDICAL CTR,NLP,NLP,NLP,4,04/22/2022 12:00:00 AM
