2022-02-18T16-04-21,25901,PLATEAU MEDICAL CENTER,02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,25901,PLATEAU MEDICAL CENTER,02/22/2022 12:00:00 AM,,25,,
2022-03-03T10-04-44,25901,PLATEAU MEDICAL CENTER,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,25,,
2022-03-08T14-40-56,25901,PLATEAU MEDICAL CENTER,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,25,,
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-27T05-48-57,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-28T05-34-18,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
2022-05-29T05-31-58,25901,PLATEAU MEDICAL CENTER,NLP,NLP,NLP,23,05/24/2022 12:00:00 AM
