2022-02-18T16-04-21,36502,ATMORE COMMUNITY HOSPITAL,02/17/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,36502,ATMORE COMMUNITY HOSPITAL,02/21/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,36502,ATMORE COMMUNITY HOSPITAL,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,,
2022-03-08T14-40-56,36502,ATMORE COMMUNITY HOSPITAL,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,,
2022-04-01T06-54-45,36502,BUFORD L ROLIN HEALTH CENTER,NLP,NLP,NLP,5,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,36502,BUFORD L ROLIN HEALTH CENTER,NLP,NLP,NLP,5,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,36502,BUFORD L ROLIN HEALTH CENTER,NLP,NLP,NLP,5,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,36502,BUFORD L ROLIN HEALTH CENTER,NLP,NLP,NLP,5,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,36502,BUFORD L ROLIN HEALTH CENTER,NLP,NLP,NLP,5,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,36502,BUFORD L ROLIN HEALTH CENTER,NLP,NLP,NLP,5,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,36502,BUFORD L ROLIN HEALTH CENTER,NLP,NLP,NLP,5,04/04/2022 12:00:00 AM
2022-04-08T05-48-29,36502,BUFORD L ROLIN HEALTH CENTER,NLP,NLP,NLP,5,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,36502,BUFORD L ROLIN HEALTH CENTER,NLP,NLP,NLP,5,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,36502,BUFORD L ROLIN HEALTH CENTER,NLP,NLP,NLP,5,04/08/2022 12:00:00 AM
