2022-02-18T16-04-21,03102,CATHOLIC MEDICAL CENTER PHARMACY,02/18/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,03102,CATHOLIC MEDICAL CENTER PHARMACY,02/23/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,03102,CATHOLIC MEDICAL CENTER PHARMACY,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,15,10,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,03102,CATHOLIC MEDICAL CENTER PHARMACY,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,15,10,03/02/2022 12:00:00 AM
2022-03-16T18-51-35,03102,CATHOLIC MEDICAL CENTER PHARMACY,NLP,NLP,NLP,15,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,03102,CATHOLIC MEDICAL CENTER PHARMACY,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,03102,CATHOLIC MEDICAL CENTER PHARMACY,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,03102,CATHOLIC MEDICAL CENTER PHARMACY,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,03102,CATHOLIC MEDICAL CENTER PHARMACY,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,03102,CATHOLIC MEDICAL CENTER PHARMACY,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,03102,CATHOLIC MEDICAL CENTER PHARMACY,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
