2022-02-18T16-04-21,36701,VAUGHAN REGIONAL MEDICAL CENTER,02/17/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,36701,VAUGHAN REGIONAL MEDICAL CENTER,02/21/2022 12:00:00 AM,,10,,
2022-03-03T10-04-44,36701,VAUGHAN REGIONAL MEDICAL CENTER,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,,
2022-03-08T14-40-56,36701,VAUGHAN REGIONAL MEDICAL CENTER,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,15,,
2022-04-30T05-15-55,36701,VAUGHAN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,15,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,36701,VAUGHAN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,15,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,36701,VAUGHAN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,15,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,36701,VAUGHAN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,14,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,36701,VAUGHAN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,14,05/02/2022 12:00:00 AM
2022-05-05T09-49-47,36701,VAUGHAN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,14,05/02/2022 12:00:00 AM
2022-05-06T06-12-41,36701,VAUGHAN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,14,05/02/2022 12:00:00 AM
2022-05-07T05-45-31,36701,VAUGHAN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,14,05/02/2022 12:00:00 AM
2022-05-08T10-02-59,36701,VAUGHAN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,14,05/02/2022 12:00:00 AM
2022-05-09T05-08-14,36701,VAUGHAN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,14,05/02/2022 12:00:00 AM
2022-05-10T06-06-54,36701,VAUGHAN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,14,05/02/2022 12:00:00 AM
2022-05-11T06-51-12,36701,VAUGHAN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,14,05/02/2022 12:00:00 AM
