2022-02-18T16-04-21,33469,ARROYO HEALTH LABS CENTER LLC,02/17/2022 12:00:00 AM,,50,0,02/14/2022 12:00:00 AM
2022-03-03T09-56-49,33469,ARROYO HEALTH LABS CENTER LLC,02/25/2022 12:00:00 AM,,150,50,02/23/2022 12:00:00 AM
2022-03-03T10-04-44,33469,ARROYO HEALTH LABS CENTER LLC,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,150,150,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,33469,Arroyo Health Labs Center LLC,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,150,150,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,147,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,195,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,195,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,194,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,194,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,192,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,192,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,192,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,192,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,192,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,192,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,192,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,191,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,191,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,190,03/24/2022 12:00:00 AM
