2022-02-18T16-04-21,20166,MED SA-1 Vaccine Distro,02/15/2022 12:00:00 AM,,30,,
2022-03-03T09-56-49,20166,MED SA-1 Vaccine Distro,02/22/2022 12:00:00 AM,,75,,
2022-03-03T10-04-44,20166,MED SA-1 Vaccine Distro,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,75,,
2022-03-08T14-40-56,20166,MED SA-1 Vaccine Distro,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,75,,
2022-04-28T09-22-45,20166,MED SA-1 Vaccine Distro,NLP,NLP,NLP,20,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,20166,MED SA-1 Vaccine Distro,NLP,NLP,NLP,20,04/27/2022 12:00:00 AM
2022-04-30T05-15-55,20166,MED SA-1 Vaccine Distro,NLP,NLP,NLP,20,04/27/2022 12:00:00 AM
2022-05-01T05-13-51,20166,MED SA-1 Vaccine Distro,NLP,NLP,NLP,20,04/27/2022 12:00:00 AM
2022-05-02T06-02-50,20166,MED SA-1 Vaccine Distro,NLP,NLP,NLP,20,04/27/2022 12:00:00 AM
2022-05-03T06-05-23,20166,MED SA-1 Vaccine Distro,NLP,NLP,NLP,20,04/27/2022 12:00:00 AM
2022-05-04T05-12-02,20166,MED SA-1 Vaccine Distro,NLP,NLP,NLP,20,04/27/2022 12:00:00 AM
