2022-03-08T14-40-56,67642,GRAHAM COUNTY HOSP,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,10,10,03/04/2022 12:00:00 AM
2022-03-16T18-51-35,67642,GRAHAM COUNTY HOSP,NLP,NLP,NLP,10,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,67642,GRAHAM COUNTY HOSP,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,67642,GRAHAM COUNTY HOSP,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,67642,GRAHAM COUNTY HOSP,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,67642,GRAHAM COUNTY HOSP,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,67642,GRAHAM COUNTY HOSP,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,67642,GRAHAM COUNTY HOSP,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,67642,GRAHAM COUNTY HOSP,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,67642,GRAHAM COUNTY HOSP,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,67642,GRAHAM COUNTY HOSP,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,67642,GRAHAM COUNTY HOSP,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,67642,GRAHAM COUNTY HOSP,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,67642,GRAHAM COUNTY HOSP,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,67642,GRAHAM COUNTY HOSP,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,67642,GRAHAM COUNTY HOSP,NLP,NLP,NLP,10,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,67642,GRAHAM COUNTY HOSP,NLP,NLP,NLP,10,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,67642,GRAHAM COUNTY HOSP,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,67642,GRAHAM COUNTY HOSP,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,67642,GRAHAM COUNTY HOSP,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,67642,GRAHAM COUNTY HOSP,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
