2022-02-18T16-04-21,75087,ROCKWALL CO EMERGENCY MANAGEMENT,02/15/2022 12:00:00 AM,,280,,
2022-03-03T09-56-49,75087,ROCKWALL CO EMERGENCY MANAGEMENT,02/21/2022 12:00:00 AM,,560,,
2022-03-03T10-04-44,75087,ROCKWALL CO EMERGENCY MANAGEMENT,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,560,,
2022-03-08T14-40-56,75087,ROCKWALL CO EMERGENCY MANAGEMENT,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,560,,
2022-04-07T05-34-07,75087,ROCKWALL RAPID CARE,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-08T05-48-29,75087,ROCKWALL RAPID CARE,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-09T05-41-09,75087,ROCKWALL RAPID CARE,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-10T09-31-27,75087,ROCKWALL RAPID CARE,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-11T07-06-23,75087,ROCKWALL RAPID CARE,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-12T07-06-55,75087,ROCKWALL RAPID CARE,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-13T09-20-57,75087,ROCKWALL RAPID CARE,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-13T11-55-39,75087,ROCKWALL RAPID CARE,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-14T09-18-06,75087,ROCKWALL RAPID CARE,NLP,NLP,NLP,9,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,75087,ROCKWALL RAPID CARE,NLP,NLP,NLP,9,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,75087,ROCKWALL RAPID CARE,NLP,NLP,NLP,9,04/14/2022 12:00:00 AM
2022-04-17T05-32-24,75087,ROCKWALL RAPID CARE,NLP,NLP,NLP,9,04/14/2022 12:00:00 AM
2022-04-18T05-31-10,75087,ROCKWALL RAPID CARE,NLP,NLP,NLP,9,04/14/2022 12:00:00 AM
