2022-02-18T16-04-21,17402,Wellspan Infusion,02/16/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,17402,Wellspan Infusion,02/28/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,17402,Wellspan Infusion,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,15,,
2022-03-08T14-40-56,17402,Wellspan Infusion,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,15,,
2022-06-04T19-11-08,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
2022-06-05T08-48-25,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
2022-06-06T06-32-51,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
2022-06-07T05-36-41,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
2022-06-08T05-42-02,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
2022-06-09T04-15-20,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
2022-06-10T04-15-36,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
2022-06-11T04-15-14,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
2022-06-12T04-15-15,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
2022-06-13T04-15-40,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
2022-06-14T04-15-16,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
2022-06-15T04-15-27,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
2022-06-16T04-15-45,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
2022-06-17T04-15-27,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
2022-06-18T04-15-18,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
2022-06-19T04-15-29,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
2022-06-20T04-15-58,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
2022-06-21T04-15-35,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
2022-06-22T04-15-20,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
2022-06-23T04-15-16,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
2022-06-24T04-15-26,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
2022-06-25T04-15-18,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
2022-06-26T04-15-17,17402,Wellspan Infusion,NLP,NLP,NLP,5,06/02/2022 12:00:00 AM
