2022-02-18T16-04-21,52001,MERCYONE DUBUQUE MEDICAL CENTER,02/16/2022 12:00:00 AM,,10,10,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,52001,FINLEY HOSPITAL,02/24/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,52001,MERCYONE DUBUQUE MEDICAL CENTER,02/24/2022 12:00:00 AM,,20,10,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,52001,MERCYONE DUBUQUE MEDICAL CENTER,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,20,03/02/2022 12:00:00 AM
2022-03-03T10-04-44,52001,FINLEY HOSPITAL,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,10,,
2022-03-08T14-40-56,52001,MERCYONE DUBUQUE MEDICAL CENTER,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,35,35,03/08/2022 12:00:00 AM
2022-03-08T14-40-56,52001,FINLEY HOSPITAL,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,10,10,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,52001,FINLEY HOSPITAL,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,52001,MERCYONE DUBUQUE MEDICAL CENTER,NLP,NLP,NLP,35,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,52001,FINLEY HOSPITAL,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T09-58-11,52001,MERCYONE DUBUQUE MEDICAL CENTER,NLP,NLP,NLP,35,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,52001,FINLEY HOSPITAL,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,52001,MERCYONE DUBUQUE MEDICAL CENTER,NLP,NLP,NLP,35,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,52001,MERCYONE DUBUQUE MEDICAL CENTER,NLP,NLP,NLP,35,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,52001,FINLEY HOSPITAL,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,52001,MERCYONE DUBUQUE MEDICAL CENTER,NLP,NLP,NLP,35,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,52001,FINLEY HOSPITAL,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,52001,MERCYONE DUBUQUE MEDICAL CENTER,NLP,NLP,NLP,35,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,52001,FINLEY HOSPITAL,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-19T11-58-02,52001,FINLEY HOSPITAL,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-19T11-58-02,52001,MERCYONE DUBUQUE MEDICAL CENTER,NLP,NLP,NLP,35,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,52001,MERCYONE DUBUQUE MEDICAL CENTER,NLP,NLP,NLP,35,03/20/2022 12:00:00 AM
2022-03-20T06-05-37,52001,FINLEY HOSPITAL,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-21T06-11-50,52001,FINLEY HOSPITAL,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-21T06-11-50,52001,MERCYONE DUBUQUE MEDICAL CENTER,NLP,NLP,NLP,35,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,52001,FINLEY HOSPITAL,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-21T14-18-38,52001,MERCYONE DUBUQUE MEDICAL CENTER,NLP,NLP,NLP,35,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,52001,MERCYONE DUBUQUE MEDICAL CENTER,NLP,NLP,NLP,35,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,52001,FINLEY HOSPITAL,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-22T09-16-18,52001,MERCYONE DUBUQUE MEDICAL CENTER,NLP,NLP,NLP,35,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,52001,FINLEY HOSPITAL,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-23T08-41-43,52001,FINLEY HOSPITAL,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,52001,MERCYONE DUBUQUE MEDICAL CENTER,NLP,NLP,NLP,35,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,52001,FINLEY HOSPITAL,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,52001,MERCYONE DUBUQUE MEDICAL CENTER,NLP,NLP,NLP,35,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,52001,MERCYONE DUBUQUE MEDICAL CENTER,NLP,NLP,NLP,35,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,52001,FINLEY HOSPITAL,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,52001,MERCYONE DUBUQUE MEDICAL CENTER,NLP,NLP,NLP,35,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,52001,FINLEY HOSPITAL,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
