2022-03-03T09-56-49,10956,Adelman Health; NP,02/24/2022 12:00:00 AM,,10,,
2022-03-03T10-04-44,10956,Adelman Health; NP,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,10,,
2022-03-08T14-40-56,10956,Adelman Health; NP,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,40,,
2022-04-21T05-29-54,10956,Adelman Health; NP,NLP,NLP,NLP,38,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,10956,Adelman Health; NP,NLP,NLP,NLP,38,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,10956,Adelman Health; NP,NLP,NLP,NLP,38,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,10956,Adelman Health; NP,NLP,NLP,NLP,38,04/21/2022 12:00:00 AM
2022-04-25T05-22-33,10956,Adelman Health; NP,NLP,NLP,NLP,38,04/21/2022 12:00:00 AM
2022-04-26T05-20-54,10956,Adelman Health; NP,NLP,NLP,NLP,38,04/21/2022 12:00:00 AM
2022-04-27T05-23-49,10956,Adelman Health; NP,NLP,NLP,NLP,38,04/21/2022 12:00:00 AM
2022-04-28T09-22-45,10956,Adelman Health; NP,NLP,NLP,NLP,38,04/21/2022 12:00:00 AM
2022-04-29T05-13-54,10956,Adelman Health; NP,NLP,NLP,NLP,38,04/21/2022 12:00:00 AM
2022-04-30T05-15-55,10956,Adelman Health; NP,NLP,NLP,NLP,38,04/21/2022 12:00:00 AM
