2022-02-18T16-04-21,26241,DAVIS MEDICAL CENTER - ELKINS,02/16/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,26241,DAVIS MEDICAL CENTER - ELKINS,02/28/2022 12:00:00 AM,,25,,
2022-03-03T10-04-44,26241,DAVIS MEDICAL CENTER - ELKINS,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,25,,
2022-03-08T14-40-56,26241,DAVIS MEDICAL CENTER - ELKINS,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,25,,
2022-05-24T05-46-03,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,26241,DAVIS MEDICAL CENTER - ELKINS,NLP,NLP,NLP,8,05/23/2022 12:00:00 AM
