2022-02-18T16-04-21,40351,ST CLAIRE REGIONAL MEDICAL CENTER,02/15/2022 12:00:00 AM,,50,,
2022-03-03T09-56-49,40351,ST CLAIRE REGIONAL MEDICAL CENTER,02/21/2022 12:00:00 AM,,150,,
2022-03-03T10-04-44,40351,ST CLAIRE REGIONAL MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,150,,
2022-03-08T14-40-56,40351,ST CLAIRE REGIONAL MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,150,,
2022-07-09T04-15-19,40351,ST CLAIRE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,07/08/2022 12:00:00 AM
2022-07-10T04-15-26,40351,ST CLAIRE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,07/08/2022 12:00:00 AM
2022-07-11T04-15-25,40351,ST CLAIRE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,07/08/2022 12:00:00 AM
2022-07-12T04-15-22,40351,ST CLAIRE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,07/08/2022 12:00:00 AM
2022-07-13T04-15-22,40351,ST CLAIRE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,07/08/2022 12:00:00 AM
2022-07-14T04-15-29,40351,ST CLAIRE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,07/08/2022 12:00:00 AM
2022-07-15T04-15-46,40351,ST CLAIRE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,07/08/2022 12:00:00 AM
2022-07-17T04-15-18,40351,ST CLAIRE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,07/08/2022 12:00:00 AM
2022-07-18T04-15-21,40351,ST CLAIRE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,07/08/2022 12:00:00 AM
2022-07-18T07-55-19,40351,ST CLAIRE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,07/08/2022 12:00:00 AM
2022-07-19T04-15-25,40351,ST CLAIRE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,07/08/2022 12:00:00 AM
2022-07-20T04-15-41,40351,ST CLAIRE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,07/08/2022 12:00:00 AM
2022-07-21T04-15-40,40351,ST CLAIRE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,07/08/2022 12:00:00 AM
