2022-03-08T14-40-56,13790,Asha Gupta MD,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,5,,
2022-03-18T11-17-38,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-24T07-49-11,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-24T13-46-29,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-25T08-10-53,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-28T06-21-17,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-29T08-50-48,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-30T09-27-07,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-31T08-53-07,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-31T15-09-22,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-01T06-54-45,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-02T06-05-59,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-03T05-51-54,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-04T05-38-24,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-05T05-48-33,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-06T05-45-18,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-07T05-34-07,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-08T05-48-29,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-09T05-41-09,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-10T09-31-27,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-11T07-06-23,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-12T07-06-55,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-04-13T09-20-57,13790,UHS Wilson Medical Center,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
