2022-02-18T16-04-21,74074,STILLWATER MED CTR - PHARM,02/17/2022 12:00:00 AM,,50,0,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,74074,STILLWATER MED CTR - PHARM,02/23/2022 12:00:00 AM,,75,50,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,74074,STILLWATER MED CTR - PHARM,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,75,25,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,74074,STILLWATER MED CTR - PHARM,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,75,75,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,74074,STILLWATER MED CTR - PHARM,NLP,NLP,NLP,75,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,74074,STILLWATER MED CTR - PHARM,NLP,NLP,NLP,75,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,74074,STILLWATER MED CTR - PHARM,NLP,NLP,NLP,75,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,74074,STILLWATER MED CTR - PHARM,NLP,NLP,NLP,75,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,74074,STILLWATER MED CTR - PHARM,NLP,NLP,NLP,75,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,74074,STILLWATER MED CTR - PHARM,NLP,NLP,NLP,75,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,74074,STILLWATER MED CTR - PHARM,NLP,NLP,NLP,75,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,74074,STILLWATER MED CTR - PHARM,NLP,NLP,NLP,75,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,74074,STILLWATER MED CTR - PHARM,NLP,NLP,NLP,75,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,74074,STILLWATER MED CTR - PHARM,NLP,NLP,NLP,75,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,74074,STILLWATER MED CTR - PHARM,NLP,NLP,NLP,75,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,74074,STILLWATER MED CTR - PHARM,NLP,NLP,NLP,75,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,74074,STILLWATER MED CTR - PHARM,NLP,NLP,NLP,75,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,74074,STILLWATER MED CTR - PHARM,NLP,NLP,NLP,75,03/24/2022 12:00:00 AM
