2022-02-18T16-04-21,77449,MEMORIAL HERMANN PHARMACY SERVICES,02/15/2022 12:00:00 AM,,90,,
2022-03-03T09-56-49,77449,MEMORIAL HERMANN PHARMACY SERVICES,02/21/2022 12:00:00 AM,,110,,
2022-03-03T10-04-44,77449,MEMORIAL HERMANN PHARMACY SERVICES,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,110,,
2022-03-08T14-40-56,77449,MEMORIAL HERMANN PHARMACY SERVICES,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,110,110,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,03/07/2022 12:00:00 AM
2022-03-29T08-50-48,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,03/07/2022 12:00:00 AM
2022-03-30T09-27-07,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,03/07/2022 12:00:00 AM
2022-03-31T08-53-07,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,03/07/2022 12:00:00 AM
2022-03-31T15-09-22,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,03/07/2022 12:00:00 AM
2022-04-01T06-54-45,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,03/07/2022 12:00:00 AM
2022-04-02T06-05-59,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,03/07/2022 12:00:00 AM
2022-04-03T05-51-54,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,03/07/2022 12:00:00 AM
2022-04-04T05-38-24,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,03/07/2022 12:00:00 AM
2022-04-05T05-48-33,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,04/04/2022 12:00:00 AM
2022-04-08T05-48-29,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,04/04/2022 12:00:00 AM
2022-04-09T05-41-09,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,04/04/2022 12:00:00 AM
2022-04-10T09-31-27,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,04/04/2022 12:00:00 AM
2022-04-11T07-06-23,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,04/04/2022 12:00:00 AM
2022-04-12T07-06-55,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,04/04/2022 12:00:00 AM
2022-04-13T09-20-57,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,04/04/2022 12:00:00 AM
2022-04-13T11-55-39,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,04/04/2022 12:00:00 AM
2022-04-14T09-18-06,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,04/04/2022 12:00:00 AM
2022-04-15T06-03-51,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,04/04/2022 12:00:00 AM
2022-04-16T05-33-42,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,04/04/2022 12:00:00 AM
2022-04-17T05-32-24,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,04/04/2022 12:00:00 AM
2022-04-18T05-31-10,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,04/04/2022 12:00:00 AM
2022-04-19T05-39-24,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,04/04/2022 12:00:00 AM
2022-04-20T05-27-37,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,04/04/2022 12:00:00 AM
2022-04-21T05-29-54,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,04/04/2022 12:00:00 AM
2022-04-22T05-26-18,77449,MEMORIAL HERMANN PHARMACY SERVICES,NLP,NLP,NLP,110,04/04/2022 12:00:00 AM
