2022-02-18T16-04-21,14220,MERCY HOSPITAL OF BUFFALO,02/17/2022 12:00:00 AM,,10,0,02/15/2022 12:00:00 AM
2022-04-05T05-48-33,14220,MERCY HOSPITAL OF BUFFALO,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-06T05-45-18,14220,MERCY HOSPITAL OF BUFFALO,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-07T05-34-07,14220,MERCY HOSPITAL OF BUFFALO,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-08T05-48-29,14220,MERCY HOSPITAL OF BUFFALO,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-09T05-41-09,14220,MERCY HOSPITAL OF BUFFALO,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-10T09-31-27,14220,MERCY HOSPITAL OF BUFFALO,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-11T07-06-23,14220,MERCY HOSPITAL OF BUFFALO,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-12T07-06-55,14220,MERCY HOSPITAL OF BUFFALO,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-13T09-20-57,14220,MERCY HOSPITAL OF BUFFALO,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-13T11-55-39,14220,MERCY HOSPITAL OF BUFFALO,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
