2022-02-18T16-04-21,78550,NURX PHARMACY LLC,02/15/2022 12:00:00 AM,,70,,
2022-03-03T09-56-49,78550,NURX PHARMACY LLC,02/21/2022 12:00:00 AM,,90,45,02/23/2022 12:00:00 AM
2022-03-03T10-04-44,78550,NURX PHARMACY LLC,03/02/2022 12:00:00 AM,02/23/2022 12:00:00 AM,150,45,02/23/2022 12:00:00 AM
2022-03-08T14-40-56,78550,NURX PHARMACY LLC,03/07/2022 12:00:00 AM,03/04/2022 12:00:00 AM,210,45,02/23/2022 12:00:00 AM
2022-03-29T08-50-48,78550,NURX PHARMACY LLC,NLP,NLP,NLP,45,02/23/2022 12:00:00 AM
2022-03-30T09-27-07,78550,NURX PHARMACY LLC,NLP,NLP,NLP,45,02/23/2022 12:00:00 AM
2022-03-31T08-53-07,78550,NURX PHARMACY LLC,NLP,NLP,NLP,45,02/23/2022 12:00:00 AM
2022-03-31T15-09-22,78550,NURX PHARMACY LLC,NLP,NLP,NLP,45,02/23/2022 12:00:00 AM
2022-04-01T06-54-45,78550,NURX PHARMACY LLC,NLP,NLP,NLP,45,02/23/2022 12:00:00 AM
2022-04-02T06-05-59,78550,NURX PHARMACY LLC,NLP,NLP,NLP,45,02/23/2022 12:00:00 AM
2022-04-03T05-51-54,78550,NURX PHARMACY LLC,NLP,NLP,NLP,45,02/23/2022 12:00:00 AM
2022-04-04T05-38-24,78550,NURX PHARMACY LLC,NLP,NLP,NLP,45,02/23/2022 12:00:00 AM
2022-04-05T05-48-33,78550,NURX PHARMACY LLC,NLP,NLP,NLP,45,02/23/2022 12:00:00 AM
2022-04-06T05-45-18,78550,NURX PHARMACY LLC,NLP,NLP,NLP,45,02/23/2022 12:00:00 AM
2022-04-07T05-34-07,78550,NURX PHARMACY LLC,NLP,NLP,NLP,45,02/23/2022 12:00:00 AM
2022-04-08T05-48-29,78550,NURX PHARMACY LLC,NLP,NLP,NLP,45,02/23/2022 12:00:00 AM
2022-04-09T05-41-09,78550,NURX PHARMACY LLC,NLP,NLP,NLP,45,02/23/2022 12:00:00 AM
2022-04-10T09-31-27,78550,NURX PHARMACY LLC,NLP,NLP,NLP,45,02/23/2022 12:00:00 AM
2022-04-11T07-06-23,78550,NURX PHARMACY LLC,NLP,NLP,NLP,45,02/23/2022 12:00:00 AM
2022-04-12T07-06-55,78550,NURX PHARMACY LLC,NLP,NLP,NLP,45,02/23/2022 12:00:00 AM
2022-04-13T09-20-57,78550,NURX PHARMACY LLC,NLP,NLP,NLP,45,02/23/2022 12:00:00 AM
2022-04-13T11-55-39,78550,NURX PHARMACY LLC,NLP,NLP,NLP,45,02/23/2022 12:00:00 AM
2022-04-14T09-18-06,78550,NURX PHARMACY LLC,NLP,NLP,NLP,77,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,78550,NURX PHARMACY LLC,NLP,NLP,NLP,77,04/13/2022 12:00:00 AM
2022-04-16T05-33-42,78550,NURX PHARMACY LLC,NLP,NLP,NLP,77,04/13/2022 12:00:00 AM
