2022-02-18T16-04-21,17325,GETTYSBURG HOSPITAL,02/16/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,17325,GETTYSBURG HOSPITAL,02/28/2022 12:00:00 AM,,40,,
2022-03-03T10-04-44,17325,GETTYSBURG HOSPITAL,02/28/2022 12:00:00 AM,02/25/2022 12:00:00 AM,40,,
2022-03-08T14-40-56,17325,GETTYSBURG HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,40,,
2022-06-18T04-15-18,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,18,06/17/2022 12:00:00 AM
2022-06-19T04-15-29,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,18,06/17/2022 12:00:00 AM
2022-06-20T04-15-58,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,18,06/17/2022 12:00:00 AM
2022-06-21T04-15-35,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,18,06/17/2022 12:00:00 AM
2022-06-22T04-15-20,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,18,06/17/2022 12:00:00 AM
2022-06-23T04-15-16,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,18,06/17/2022 12:00:00 AM
2022-06-24T04-15-26,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,18,06/17/2022 12:00:00 AM
2022-06-25T04-15-18,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,18,06/24/2022 12:00:00 AM
2022-06-26T04-15-17,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,18,06/24/2022 12:00:00 AM
2022-06-27T04-15-31,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,18,06/24/2022 12:00:00 AM
2022-06-28T04-15-44,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,18,06/24/2022 12:00:00 AM
2022-06-29T04-15-40,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,18,06/24/2022 12:00:00 AM
2022-06-30T04-15-32,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-01T04-15-22,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-03T14-40-38,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-04T04-15-29,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-05T04-15-18,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-06T04-15-19,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-07T04-15-17,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-07T13-15-18,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-08T04-15-19,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-09T04-15-19,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-10T04-15-26,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-11T04-15-25,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-12T04-15-22,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-13T04-15-22,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-14T04-15-29,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-15T04-15-46,17325,GETTYSBURG HOSPITAL,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
