2022-02-18T16-04-21,70554,SAVOY MEDICAL CENTER,02/14/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,70554,SAVOY MEDICAL CENTER,02/28/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,70554,SAVOY MEDICAL CENTER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,,
2022-03-08T14-40-56,70554,SAVOY MEDICAL CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,15,,
2022-05-18T05-40-23,70554,SAVOY MEDICAL CENTER,NLP,NLP,NLP,15,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,70554,SAVOY MEDICAL CENTER,NLP,NLP,NLP,15,05/17/2022 12:00:00 AM
2022-05-20T05-59-40,70554,SAVOY MEDICAL CENTER,NLP,NLP,NLP,15,05/17/2022 12:00:00 AM
2022-05-21T05-54-21,70554,SAVOY MEDICAL CENTER,NLP,NLP,NLP,15,05/17/2022 12:00:00 AM
2022-05-22T09-07-10,70554,SAVOY MEDICAL CENTER,NLP,NLP,NLP,15,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70554,SAVOY MEDICAL CENTER,NLP,NLP,NLP,15,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70554,SAVOY MEDICAL CENTER,NLP,NLP,NLP,15,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70554,SAVOY MEDICAL CENTER,NLP,NLP,NLP,15,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70554,SAVOY MEDICAL CENTER,NLP,NLP,NLP,15,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70554,SAVOY MEDICAL CENTER,NLP,NLP,NLP,15,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70554,SAVOY MEDICAL CENTER,NLP,NLP,NLP,15,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,70554,SAVOY MEDICAL CENTER,NLP,NLP,NLP,15,05/17/2022 12:00:00 AM
