2022-03-08T14-40-56,81401,MONTROSE REGIONAL HEALTH,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,5,,
2022-05-10T06-06-54,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-12T07-16-49,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-13T06-07-31,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-14T08-49-14,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-15T05-54-13,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-16T05-54-24,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-17T05-27-38,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-18T05-40-23,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-19T05-25-31,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-20T05-59-40,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-21T05-54-21,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-22T09-07-10,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-23T07-42-39,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-23T07-42-39,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-23T07-42-39,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-23T07-42-39,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-23T07-42-39,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-23T07-42-39,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-23T07-42-39,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-23T07-42-39,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-23T07-42-39,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-23T07-42-39,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-23T07-42-39,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-23T07-42-39,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-23T07-42-39,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-23T07-42-39,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-23T07-42-39,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-23T07-42-39,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-24T05-46-03,81401,MONTROSE REGIONAL HEALTH,NLP,NLP,NLP,5,05/23/2022 12:00:00 AM
