2022-03-08T14-40-56,93215,DELANO REGIONAL MED CTR,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,30,,
2022-03-18T09-58-11,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-24T07-49-11,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-24T13-46-29,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-31T15-09-22,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-04-01T06-54-45,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-04-02T06-05-59,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-04-03T05-51-54,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-04-04T05-38-24,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-04-05T05-48-33,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-04-06T05-45-18,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-04-07T05-34-07,93215,DELANO REGIONAL MED CTR,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
