2022-02-18T16-04-21,72401,NEA BAPTIST MEMORIAL HOSP PHARMACY,02/16/2022 12:00:00 AM,,50,0,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,72401,ST. BERNARD MEDICAL CENTER,02/22/2022 12:00:00 AM,,10,10,02/28/2022 12:00:00 AM
2022-03-03T09-56-49,72401,NEA BAPTIST MEMORIAL HOSP PHARMACY,02/22/2022 12:00:00 AM,,75,75,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,72401,NEA BAPTIST MEMORIAL HOSP PHARMACY,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,75,75,03/02/2022 12:00:00 AM
2022-03-03T10-04-44,72401,ST. BERNARD MEDICAL CENTER,03/01/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,10,02/28/2022 12:00:00 AM
2022-03-08T14-40-56,72401,ST. BERNARD MEDICAL CENTER,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,20,20,03/07/2022 12:00:00 AM
2022-03-08T14-40-56,72401,NEA BAPTIST MEMORIAL HOSP PHARMACY,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,75,75,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,72401,ST. BERNARD MEDICAL CENTER,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,72401,NEA BAPTIST MEMORIAL HOSP PHARMACY,NLP,NLP,NLP,75,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,72401,NEA BAPTIST MEMORIAL HOSP PHARMACY,NLP,NLP,NLP,75,03/15/2022 12:00:00 AM
2022-03-18T09-58-11,72401,ST. BERNARD MEDICAL CENTER,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,72401,NEA BAPTIST MEMORIAL HOSP PHARMACY,NLP,NLP,NLP,75,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,72401,ST. BERNARD MEDICAL CENTER,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,72401,NEA BAPTIST MEMORIAL HOSP PHARMACY,NLP,NLP,NLP,75,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,72401,ST. BERNARD MEDICAL CENTER,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,72401,NEA BAPTIST MEMORIAL HOSP PHARMACY,NLP,NLP,NLP,75,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,72401,ST. BERNARD MEDICAL CENTER,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,72401,NEA BAPTIST MEMORIAL HOSP PHARMACY,NLP,NLP,NLP,75,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,72401,ST. BERNARD MEDICAL CENTER,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-19T11-58-02,72401,NEA BAPTIST MEMORIAL HOSP PHARMACY,NLP,NLP,NLP,75,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,72401,ST. BERNARD MEDICAL CENTER,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,72401,NEA BAPTIST MEMORIAL HOSP PHARMACY,NLP,NLP,NLP,75,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,72401,ST. BERNARD MEDICAL CENTER,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,72401,NEA BAPTIST MEMORIAL HOSP PHARMACY,NLP,NLP,NLP,75,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,72401,ST. BERNARD MEDICAL CENTER,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,72401,NEA BAPTIST MEMORIAL HOSP PHARMACY,NLP,NLP,NLP,75,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,72401,ST. BERNARD MEDICAL CENTER,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,72401,NEA BAPTIST MEMORIAL HOSP PHARMACY,NLP,NLP,NLP,75,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,72401,ST. BERNARD MEDICAL CENTER,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
