2022-02-18T16-04-21,25401,Berkeley Medical Center,02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,25401,Berkeley Medical Center,02/22/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,25401,Berkeley Medical Center,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,15,,
2022-03-08T14-40-56,25401,Berkeley Medical Center,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,15,,
2022-05-26T07-59-29,25401,Berkeley Medical Center,NLP,NLP,NLP,11,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,25401,Berkeley Medical Center,NLP,NLP,NLP,11,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,25401,Berkeley Medical Center,NLP,NLP,NLP,11,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,25401,Berkeley Medical Center,NLP,NLP,NLP,11,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,25401,Berkeley Medical Center,NLP,NLP,NLP,11,05/27/2022 12:00:00 AM
2022-05-29T05-31-58,25401,Berkeley Medical Center,NLP,NLP,NLP,11,05/27/2022 12:00:00 AM
2022-05-30T05-32-42,25401,Berkeley Medical Center,NLP,NLP,NLP,11,05/27/2022 12:00:00 AM
2022-05-31T08-56-01,25401,Berkeley Medical Center,NLP,NLP,NLP,11,05/27/2022 12:00:00 AM
2022-06-01T05-37-50,25401,Berkeley Medical Center,NLP,NLP,NLP,10,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,25401,Berkeley Medical Center,NLP,NLP,NLP,10,06/01/2022 12:00:00 AM
2022-06-03T08-50-11,25401,Berkeley Medical Center,NLP,NLP,NLP,10,06/01/2022 12:00:00 AM
