2022-02-18T16-04-21,54880,ESSENTIA HEALTH SMHS (SUPERIOR),02/16/2022 12:00:00 AM,,10,0,02/18/2022 12:00:00 AM
2022-04-01T06-54-45,54880,ESSENTIA HEALTH SMHS (SUPERIOR),NLP,NLP,NLP,9,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,54880,ESSENTIA HEALTH SMHS (SUPERIOR),NLP,NLP,NLP,10,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,54880,ESSENTIA HEALTH SMHS (SUPERIOR),NLP,NLP,NLP,10,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,54880,ESSENTIA HEALTH SMHS (SUPERIOR),NLP,NLP,NLP,10,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,54880,ESSENTIA HEALTH SMHS (SUPERIOR),NLP,NLP,NLP,10,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,54880,ESSENTIA HEALTH SMHS (SUPERIOR),NLP,NLP,NLP,10,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,54880,ESSENTIA HEALTH SMHS (SUPERIOR),NLP,NLP,NLP,10,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,54880,ESSENTIA HEALTH SMHS (SUPERIOR),NLP,NLP,NLP,10,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,54880,ESSENTIA HEALTH SMHS (SUPERIOR),NLP,NLP,NLP,10,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,54880,ESSENTIA HEALTH SMHS (SUPERIOR),NLP,NLP,NLP,10,04/08/2022 12:00:00 AM
