2022-03-08T14-40-56,33428,"Fernando Lopez-Ivern MD, PA",03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,50,,
2022-05-13T06-07-31,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,0,04/28/2022 12:00:00 AM
2022-05-14T08-49-14,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,0,04/28/2022 12:00:00 AM
2022-05-15T05-54-13,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,0,04/28/2022 12:00:00 AM
2022-05-16T05-54-24,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-17T05-27-38,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-18T05-40-23,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-19T05-25-31,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-20T05-59-40,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-21T05-54-21,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-22T09-07-10,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-23T07-42-39,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-23T07-42-39,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-23T07-42-39,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-23T07-42-39,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-23T07-42-39,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-23T07-42-39,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-23T07-42-39,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-23T07-42-39,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-23T07-42-39,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-23T07-42-39,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-23T07-42-39,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-23T07-42-39,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-23T07-42-39,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-23T07-42-39,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-23T07-42-39,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-23T07-42-39,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-24T05-46-03,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-24T05-46-03,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-24T05-46-03,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-24T05-46-03,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
2022-05-24T05-46-03,33428,"Fernando Lopez-Ivern MD, PA",NLP,NLP,NLP,1,05/15/2022 12:00:00 AM
