2022-02-18T16-04-21,70648,ALLEN PARISH HOSPITAL MEDICAL CTR,02/14/2022 12:00:00 AM,,5,0,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,70648,ALLEN PARISH HOSPITAL MEDICAL CTR,02/21/2022 12:00:00 AM,,10,10,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,70648,ALLEN PARISH HOSPITAL MEDICAL CTR,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,10,10,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,70648,ALLEN PARISH HOSPITAL MEDICAL CTR,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,10,10,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,70648,ALLEN PARISH HOSPITAL MEDICAL CTR,NLP,NLP,NLP,10,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,70648,ALLEN PARISH HOSPITAL MEDICAL CTR,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,70648,ALLEN PARISH HOSPITAL MEDICAL CTR,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,70648,ALLEN PARISH HOSPITAL MEDICAL CTR,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,70648,ALLEN PARISH HOSPITAL MEDICAL CTR,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,70648,ALLEN PARISH HOSPITAL MEDICAL CTR,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,70648,ALLEN PARISH HOSPITAL MEDICAL CTR,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,70648,ALLEN PARISH HOSPITAL MEDICAL CTR,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,70648,ALLEN PARISH HOSPITAL MEDICAL CTR,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,70648,ALLEN PARISH HOSPITAL MEDICAL CTR,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,70648,ALLEN PARISH HOSPITAL MEDICAL CTR,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,70648,ALLEN PARISH HOSPITAL MEDICAL CTR,NLP,NLP,NLP,10,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,70648,ALLEN PARISH HOSPITAL MEDICAL CTR,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
