2022-02-18T16-04-21,36609,IMMEDIATE CARE OF THE SOUTH,02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,36609,IMMEDIATE CARE OF THE SOUTH,02/21/2022 12:00:00 AM,,15,10,02/21/2022 12:00:00 AM
2022-03-03T10-04-44,36609,IMMEDIATE CARE OF THE SOUTH,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,25,10,02/21/2022 12:00:00 AM
2022-03-08T14-40-56,36609,IMMEDIATE CARE OF THE SOUTH,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,25,10,02/21/2022 12:00:00 AM
2022-03-29T08-50-48,36609,IMMEDIATE CARE OF THE SOUTH,NLP,NLP,NLP,10,02/21/2022 12:00:00 AM
2022-03-30T09-27-07,36609,IMMEDIATE CARE OF THE SOUTH,NLP,NLP,NLP,10,02/21/2022 12:00:00 AM
2022-03-31T08-53-07,36609,IMMEDIATE CARE OF THE SOUTH,NLP,NLP,NLP,10,02/21/2022 12:00:00 AM
2022-03-31T15-09-22,36609,IMMEDIATE CARE OF THE SOUTH,NLP,NLP,NLP,10,02/21/2022 12:00:00 AM
2022-04-01T06-54-45,36609,IMMEDIATE CARE OF THE SOUTH,NLP,NLP,NLP,10,02/21/2022 12:00:00 AM
2022-04-02T06-05-59,36609,IMMEDIATE CARE OF THE SOUTH,NLP,NLP,NLP,10,02/21/2022 12:00:00 AM
2022-04-03T05-51-54,36609,IMMEDIATE CARE OF THE SOUTH,NLP,NLP,NLP,10,02/21/2022 12:00:00 AM
2022-04-04T05-38-24,36609,IMMEDIATE CARE OF THE SOUTH,NLP,NLP,NLP,10,02/21/2022 12:00:00 AM
2022-04-05T05-48-33,36609,IMMEDIATE CARE OF THE SOUTH,NLP,NLP,NLP,10,02/21/2022 12:00:00 AM
2022-04-06T05-45-18,36609,IMMEDIATE CARE OF THE SOUTH,NLP,NLP,NLP,10,02/21/2022 12:00:00 AM
2022-04-07T05-34-07,36609,IMMEDIATE CARE OF THE SOUTH,NLP,NLP,NLP,10,02/21/2022 12:00:00 AM
2022-04-08T05-48-29,36609,IMMEDIATE CARE OF THE SOUTH,NLP,NLP,NLP,10,02/21/2022 12:00:00 AM
2022-04-09T05-41-09,36609,IMMEDIATE CARE OF THE SOUTH,NLP,NLP,NLP,10,02/21/2022 12:00:00 AM
2022-04-10T09-31-27,36609,IMMEDIATE CARE OF THE SOUTH,NLP,NLP,NLP,10,02/21/2022 12:00:00 AM
2022-04-11T07-06-23,36609,IMMEDIATE CARE OF THE SOUTH,NLP,NLP,NLP,10,02/21/2022 12:00:00 AM
2022-04-12T07-06-55,36609,IMMEDIATE CARE OF THE SOUTH,NLP,NLP,NLP,10,02/21/2022 12:00:00 AM
2022-04-13T09-20-57,36609,IMMEDIATE CARE OF THE SOUTH,NLP,NLP,NLP,10,02/21/2022 12:00:00 AM
2022-04-13T11-55-39,36609,IMMEDIATE CARE OF THE SOUTH,NLP,NLP,NLP,10,02/21/2022 12:00:00 AM
