2022-02-18T16-04-21,10940,Garnet Health Medical Center,02/17/2022 12:00:00 AM,,10,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,10940,Middletown Medical PC,02/24/2022 12:00:00 AM,,25,,
2022-03-03T10-04-44,10940,Middletown Medical PC,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,,
2022-03-08T14-40-56,10940,Middletown Medical PC,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,,
2022-04-05T05-48-33,10940,Garnet Health Medical Center,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-06T05-45-18,10940,Garnet Health Medical Center,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-07T05-34-07,10940,Garnet Health Medical Center,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-08T05-48-29,10940,Garnet Health Medical Center,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-09T05-41-09,10940,Garnet Health Medical Center,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-10T09-31-27,10940,Garnet Health Medical Center,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-11T07-06-23,10940,Garnet Health Medical Center,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-12T07-06-55,10940,Garnet Health Medical Center,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-13T09-20-57,10940,Garnet Health Medical Center,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-13T11-55-39,10940,Garnet Health Medical Center,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-14T09-18-06,10940,Garnet Health Medical Center,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-15T06-03-51,10940,Garnet Health Medical Center,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-16T05-33-42,10940,Garnet Health Medical Center,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-17T05-32-24,10940,Garnet Health Medical Center,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-18T05-31-10,10940,Garnet Health Medical Center,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-19T05-39-24,10940,Middletown Medical PC,NLP,NLP,NLP,43,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,10940,Garnet Health Medical Center,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
