2022-02-18T16-04-21,76112,THR TEXAS HEALTH RESOURCES MedSuprt,02/15/2022 12:00:00 AM,,30,,
2022-03-03T09-56-49,76112,THR TEXAS HEALTH RESOURCES MedSuprt,02/21/2022 12:00:00 AM,,130,129,02/27/2022 12:00:00 AM
2022-03-03T10-04-44,76112,THR TEXAS HEALTH RESOURCES MedSuprt,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,130,128,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,76112,THR TEXAS HEALTH RESOURCES MedSuprt,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,130,127,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,123,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,123,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,123,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,122,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,122,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,122,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,122,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,120,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,120,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,120,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,120,03/20/2022 12:00:00 AM
2022-03-22T09-16-18,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,120,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,120,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,120,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,119,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,119,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,118,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,118,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,118,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,118,03/27/2022 12:00:00 AM
2022-03-29T08-50-48,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,118,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,118,03/29/2022 12:00:00 AM
