2022-02-18T16-04-21,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,02/16/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,02/28/2022 12:00:00 AM,,55,25,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,02/28/2022 12:00:00 AM,02/25/2022 12:00:00 AM,55,25,02/28/2022 12:00:00 AM
2022-03-08T14-40-56,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,100,55,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-19T11-58-02,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-20T06-05-37,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-21T06-11-50,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-21T14-18-38,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-21T16-35-27,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,NLP,NLP,NLP,100,03/21/2022 12:00:00 AM
