2022-03-03T10-04-44,52353,WASHINGTON COUNTY HOSPITAL,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,10,10,03/01/2022 12:00:00 AM
2022-03-08T14-40-56,52353,WASHINGTON COUNTY HOSPITAL,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/04/2022 12:00:00 AM
2022-03-18T09-58-11,52353,WASHINGTON COUNTY HOSPITAL,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,52353,WASHINGTON COUNTY HOSPITAL,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,52353,WASHINGTON COUNTY HOSPITAL,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,52353,WASHINGTON COUNTY HOSPITAL,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,52353,WASHINGTON COUNTY HOSPITAL,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,52353,WASHINGTON COUNTY HOSPITAL,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,52353,WASHINGTON COUNTY HOSPITAL,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,52353,WASHINGTON COUNTY HOSPITAL,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,52353,WASHINGTON COUNTY HOSPITAL,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,52353,WASHINGTON COUNTY HOSPITAL,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,52353,WASHINGTON COUNTY HOSPITAL,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,52353,WASHINGTON COUNTY HOSPITAL,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,52353,WASHINGTON COUNTY HOSPITAL,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,52353,WASHINGTON COUNTY HOSPITAL,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,52353,WASHINGTON COUNTY HOSPITAL,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,52353,WASHINGTON COUNTY HOSPITAL,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,52353,WASHINGTON COUNTY HOSPITAL,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,52353,WASHINGTON COUNTY HOSPITAL,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,52353,WASHINGTON COUNTY HOSPITAL,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,52353,WASHINGTON COUNTY HOSPITAL,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
