2022-03-03T09-56-49,43701,GENESIS HOSPITAL,02/23/2022 12:00:00 AM,,40,40,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,43701,GENESIS HOSPITAL,03/02/2022 12:00:00 AM,02/25/2022 12:00:00 AM,80,40,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,43701,GENESIS HOSPITAL,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,80,80,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,43701,GENESIS HOSPITAL,NLP,NLP,NLP,180,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,43701,GENESIS HOSPITAL,NLP,NLP,NLP,180,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,43701,GENESIS HOSPITAL,NLP,NLP,NLP,180,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,43701,GENESIS HOSPITAL,NLP,NLP,NLP,180,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,43701,GENESIS HOSPITAL,NLP,NLP,NLP,180,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,43701,GENESIS HOSPITAL,NLP,NLP,NLP,180,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,43701,GENESIS HOSPITAL,NLP,NLP,NLP,180,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,43701,GENESIS HOSPITAL,NLP,NLP,NLP,180,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,43701,GENESIS HOSPITAL,NLP,NLP,NLP,180,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,43701,GENESIS HOSPITAL,NLP,NLP,NLP,180,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,43701,GENESIS HOSPITAL,NLP,NLP,NLP,180,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,43701,GENESIS HOSPITAL,NLP,NLP,NLP,180,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,43701,GENESIS HOSPITAL,NLP,NLP,NLP,180,03/21/2022 12:00:00 AM
2022-03-24T07-49-11,43701,GENESIS HOSPITAL,NLP,NLP,NLP,180,03/21/2022 12:00:00 AM
2022-03-24T13-46-29,43701,GENESIS HOSPITAL,NLP,NLP,NLP,180,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,43701,GENESIS HOSPITAL,NLP,NLP,NLP,180,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,43701,GENESIS HOSPITAL,NLP,NLP,NLP,180,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,43701,GENESIS HOSPITAL,NLP,NLP,NLP,180,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,43701,GENESIS HOSPITAL,NLP,NLP,NLP,180,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,43701,GENESIS HOSPITAL,NLP,NLP,NLP,180,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,43701,GENESIS HOSPITAL,NLP,NLP,NLP,80,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,43701,GENESIS HOSPITAL,NLP,NLP,NLP,80,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,43701,GENESIS HOSPITAL,NLP,NLP,NLP,80,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,43701,GENESIS HOSPITAL,NLP,NLP,NLP,80,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,43701,GENESIS HOSPITAL,NLP,NLP,NLP,80,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,43701,GENESIS HOSPITAL,NLP,NLP,NLP,80,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,43701,GENESIS HOSPITAL,NLP,NLP,NLP,80,04/02/2022 12:00:00 AM
2022-04-04T05-38-24,43701,GENESIS HOSPITAL,NLP,NLP,NLP,80,04/03/2022 12:00:00 AM
2022-04-05T05-48-33,43701,GENESIS HOSPITAL,NLP,NLP,NLP,80,04/03/2022 12:00:00 AM
2022-04-06T05-45-18,43701,GENESIS HOSPITAL,NLP,NLP,NLP,80,04/03/2022 12:00:00 AM
2022-04-07T05-34-07,43701,GENESIS HOSPITAL,NLP,NLP,NLP,80,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,43701,GENESIS HOSPITAL,NLP,NLP,NLP,80,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,43701,GENESIS HOSPITAL,NLP,NLP,NLP,80,04/06/2022 12:00:00 AM
2022-04-10T09-31-27,43701,GENESIS HOSPITAL,NLP,NLP,NLP,120,04/09/2022 12:00:00 AM
2022-04-11T07-06-23,43701,GENESIS HOSPITAL,NLP,NLP,NLP,120,04/10/2022 12:00:00 AM
2022-04-12T07-06-55,43701,GENESIS HOSPITAL,NLP,NLP,NLP,120,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,43701,GENESIS HOSPITAL,NLP,NLP,NLP,120,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,43701,GENESIS HOSPITAL,NLP,NLP,NLP,120,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,43701,GENESIS HOSPITAL,NLP,NLP,NLP,120,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,43701,GENESIS HOSPITAL,NLP,NLP,NLP,120,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,43701,GENESIS HOSPITAL,NLP,NLP,NLP,118,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,43701,GENESIS HOSPITAL,NLP,NLP,NLP,118,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,43701,GENESIS HOSPITAL,NLP,NLP,NLP,118,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,43701,GENESIS HOSPITAL,NLP,NLP,NLP,118,04/15/2022 12:00:00 AM
2022-04-20T05-27-37,43701,GENESIS HOSPITAL,NLP,NLP,NLP,114,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,43701,GENESIS HOSPITAL,NLP,NLP,NLP,114,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,43701,GENESIS HOSPITAL,NLP,NLP,NLP,114,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,43701,GENESIS HOSPITAL,NLP,NLP,NLP,114,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,43701,GENESIS HOSPITAL,NLP,NLP,NLP,114,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,43701,GENESIS HOSPITAL,NLP,NLP,NLP,114,04/22/2022 12:00:00 AM
