2022-02-18T16-04-21,27520,Johnston Health Clayton,02/16/2022 12:00:00 AM,,40,,
2022-03-03T09-56-49,27520,Johnston Health Clayton,02/23/2022 12:00:00 AM,,100,120,02/25/2022 12:00:00 AM
2022-03-03T10-04-44,27520,Johnston Health Clayton,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,100,60,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,27520,Johnston Health Clayton,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,100,100,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/10/2022 12:00:00 AM
2022-03-18T11-17-38,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-19T11-58-02,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-20T06-05-37,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-21T06-11-50,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-21T14-18-38,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-21T16-35-27,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-22T09-16-18,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-23T08-41-43,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-03-26T06-57-27,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-03-26T12-42-50,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-03-27T06-25-27,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-03-28T06-21-17,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-03-29T08-50-48,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-03-30T09-27-07,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-03-31T08-53-07,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-03-31T15-09-22,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-04-01T06-54-45,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-04-02T06-05-59,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-04-03T05-51-54,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-04-04T05-38-24,27520,Johnston Health Clayton,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-04-05T05-48-33,27520,Johnston Health Clayton,NLP,NLP,NLP,100,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,27520,Johnston Health Clayton,NLP,NLP,NLP,100,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,27520,Johnston Health Clayton,NLP,NLP,NLP,100,04/04/2022 12:00:00 AM
2022-04-08T05-48-29,27520,Johnston Health Clayton,NLP,NLP,NLP,100,04/04/2022 12:00:00 AM
2022-04-09T05-41-09,27520,Johnston Health Clayton,NLP,NLP,NLP,100,04/04/2022 12:00:00 AM
2022-04-10T09-31-27,27520,Johnston Health Clayton,NLP,NLP,NLP,100,04/04/2022 12:00:00 AM
