2022-02-18T16-04-21,34786,WINDERMERE MEDICAL CENTER,02/17/2022 12:00:00 AM,,50,0,02/14/2022 12:00:00 AM
2022-03-31T08-53-07,34786,Windermere Medical Center,NLP,NLP,NLP,50,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,34786,Windermere Medical Center,NLP,NLP,NLP,50,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,34786,Windermere Medical Center,NLP,NLP,NLP,50,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,34786,Windermere Medical Center,NLP,NLP,NLP,50,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,34786,Windermere Medical Center,NLP,NLP,NLP,50,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,34786,Windermere Medical Center,NLP,NLP,NLP,50,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,34786,Windermere Medical Center,NLP,NLP,NLP,50,03/30/2022 12:00:00 AM
2022-04-06T05-45-18,34786,Windermere Medical Center,NLP,NLP,NLP,50,03/30/2022 12:00:00 AM
2022-04-07T05-34-07,34786,Windermere Medical Center,NLP,NLP,NLP,50,03/30/2022 12:00:00 AM
2022-04-08T05-48-29,34786,Windermere Medical Center,NLP,NLP,NLP,50,03/30/2022 12:00:00 AM
2022-04-09T05-41-09,34786,Windermere Medical Center,NLP,NLP,NLP,50,03/30/2022 12:00:00 AM
2022-04-10T09-31-27,34786,Windermere Medical Center,NLP,NLP,NLP,50,03/30/2022 12:00:00 AM
2022-04-11T07-06-23,34786,Windermere Medical Center,NLP,NLP,NLP,50,03/30/2022 12:00:00 AM
2022-04-12T07-06-55,34786,Windermere Medical Center,NLP,NLP,NLP,50,03/30/2022 12:00:00 AM
2022-04-13T09-20-57,34786,Windermere Medical Center,NLP,NLP,NLP,50,03/30/2022 12:00:00 AM
2022-04-13T11-55-39,34786,Windermere Medical Center,NLP,NLP,NLP,50,03/30/2022 12:00:00 AM
2022-04-14T09-18-06,34786,Windermere Medical Center,NLP,NLP,NLP,50,03/30/2022 12:00:00 AM
2022-04-15T06-03-51,34786,Windermere Medical Center,NLP,NLP,NLP,50,03/30/2022 12:00:00 AM
