2022-02-18T16-04-21,32446,JACKSON HOSPITAL,02/17/2022 12:00:00 AM,,25,0,02/16/2022 12:00:00 AM
2022-03-03T09-56-49,32446,JACKSON HOSPITAL,02/25/2022 12:00:00 AM,,75,26,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,32446,JACKSON HOSPITAL,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,75,76,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,32446,Jackson Hospital,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,75,76,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,32446,Jackson Hospital,NLP,NLP,NLP,76,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,32446,Jackson Hospital,NLP,NLP,NLP,76,03/11/2022 12:00:00 AM
2022-03-18T11-03-37,32446,Jackson Hospital,NLP,NLP,NLP,76,03/11/2022 12:00:00 AM
2022-04-01T06-54-45,32446,Jackson Hospital,NLP,NLP,NLP,76,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,32446,Jackson Hospital,NLP,NLP,NLP,76,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,32446,Jackson Hospital,NLP,NLP,NLP,76,03/31/2022 12:00:00 AM
2022-04-04T05-38-24,32446,Jackson Hospital,NLP,NLP,NLP,76,03/31/2022 12:00:00 AM
2022-04-05T05-48-33,32446,Jackson Hospital,NLP,NLP,NLP,76,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,32446,Jackson Hospital,NLP,NLP,NLP,76,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,32446,Jackson Hospital,NLP,NLP,NLP,76,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,32446,Jackson Hospital,NLP,NLP,NLP,76,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,32446,Jackson Hospital,NLP,NLP,NLP,76,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,32446,Jackson Hospital,NLP,NLP,NLP,76,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,32446,Jackson Hospital,NLP,NLP,NLP,76,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,32446,Jackson Hospital,NLP,NLP,NLP,76,04/08/2022 12:00:00 AM
2022-04-13T09-20-57,32446,Jackson Hospital,NLP,NLP,NLP,76,04/08/2022 12:00:00 AM
