2022-02-18T16-04-21,70605,AVAIL HOSPITAL PHARMACY,02/14/2022 12:00:00 AM,,5,5,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,70605,AVAIL HOSPITAL PHARMACY,02/21/2022 12:00:00 AM,,10,5,02/23/2022 12:00:00 AM
2022-03-03T10-04-44,70605,AVAIL HOSPITAL PHARMACY,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,10,5,02/23/2022 12:00:00 AM
2022-03-08T14-40-56,70605,AVAIL HOSPITAL PHARMACY,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,10,10,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,70605,AVAIL HOSPITAL PHARMACY,NLP,NLP,NLP,10,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,70605,AVAIL HOSPITAL PHARMACY,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,70605,AVAIL HOSPITAL PHARMACY,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,70605,AVAIL HOSPITAL PHARMACY,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,70605,AVAIL HOSPITAL PHARMACY,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,70605,AVAIL HOSPITAL PHARMACY,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-19T11-58-02,70605,AVAIL HOSPITAL PHARMACY,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-20T06-05-37,70605,AVAIL HOSPITAL PHARMACY,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
