2022-02-18T16-04-21,45840,BVHS - BLANCHARD VALLEY HOSPITAL,02/16/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,45840,BVHS - BLANCHARD VALLEY HOSPITAL,02/23/2022 12:00:00 AM,,20,20,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,45840,BVHS - BLANCHARD VALLEY HOSPITAL,03/02/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,20,03/01/2022 12:00:00 AM
2022-03-08T14-40-56,45840,BVHS - BLANCHARD VALLEY HOSPITAL,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,30,30,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,45840,BVHS - BLANCHARD VALLEY HOSPITAL,NLP,NLP,NLP,30,03/07/2022 12:00:00 AM
2022-03-18T09-58-11,45840,BVHS - BLANCHARD VALLEY HOSPITAL,NLP,NLP,NLP,30,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,45840,BVHS - BLANCHARD VALLEY HOSPITAL,NLP,NLP,NLP,30,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,45840,BVHS - BLANCHARD VALLEY HOSPITAL,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,45840,BVHS - BLANCHARD VALLEY HOSPITAL,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,45840,BVHS - BLANCHARD VALLEY HOSPITAL,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,45840,BVHS - BLANCHARD VALLEY HOSPITAL,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,45840,BVHS - BLANCHARD VALLEY HOSPITAL,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,45840,BVHS - BLANCHARD VALLEY HOSPITAL,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,45840,BVHS - BLANCHARD VALLEY HOSPITAL,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,45840,BVHS - BLANCHARD VALLEY HOSPITAL,NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,45840,BVHS - BLANCHARD VALLEY HOSPITAL,NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,45840,BVHS - BLANCHARD VALLEY HOSPITAL,NLP,NLP,NLP,30,03/22/2022 12:00:00 AM
