2022-03-08T14-40-56,97828,Wallowa Memorial Hospital,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,10,,
2022-06-25T04-15-18,97828,WINDING WATERS COMMUNITY HEALTH CEN,NLP,NLP,NLP,6,06/24/2022 12:00:00 AM
2022-06-26T04-15-17,97828,WINDING WATERS COMMUNITY HEALTH CEN,NLP,NLP,NLP,6,06/24/2022 12:00:00 AM
2022-06-27T04-15-31,97828,WINDING WATERS COMMUNITY HEALTH CEN,NLP,NLP,NLP,6,06/24/2022 12:00:00 AM
2022-06-28T04-15-44,97828,WINDING WATERS COMMUNITY HEALTH CEN,NLP,NLP,NLP,6,06/24/2022 12:00:00 AM
2022-06-29T04-15-40,97828,WINDING WATERS COMMUNITY HEALTH CEN,NLP,NLP,NLP,6,06/24/2022 12:00:00 AM
2022-06-30T04-15-32,97828,WINDING WATERS COMMUNITY HEALTH CEN,NLP,NLP,NLP,5,06/29/2022 12:00:00 AM
2022-07-01T04-15-22,97828,WINDING WATERS COMMUNITY HEALTH CEN,NLP,NLP,NLP,5,06/29/2022 12:00:00 AM
2022-07-03T14-40-38,97828,WINDING WATERS COMMUNITY HEALTH CEN,NLP,NLP,NLP,5,06/29/2022 12:00:00 AM
2022-07-04T04-15-29,97828,WINDING WATERS COMMUNITY HEALTH CEN,NLP,NLP,NLP,5,06/29/2022 12:00:00 AM
2022-07-05T04-15-18,97828,WINDING WATERS COMMUNITY HEALTH CEN,NLP,NLP,NLP,5,06/29/2022 12:00:00 AM
2022-07-06T04-15-19,97828,WINDING WATERS COMMUNITY HEALTH CEN,NLP,NLP,NLP,5,06/29/2022 12:00:00 AM
2022-07-07T04-15-17,97828,WINDING WATERS COMMUNITY HEALTH CEN,NLP,NLP,NLP,5,06/29/2022 12:00:00 AM
2022-07-07T13-15-18,97828,WINDING WATERS COMMUNITY HEALTH CEN,NLP,NLP,NLP,5,06/29/2022 12:00:00 AM
2022-07-08T04-15-19,97828,WINDING WATERS COMMUNITY HEALTH CEN,NLP,NLP,NLP,5,06/29/2022 12:00:00 AM
2022-07-09T04-15-19,97828,WINDING WATERS COMMUNITY HEALTH CEN,NLP,NLP,NLP,5,06/29/2022 12:00:00 AM
2022-07-10T04-15-26,97828,WINDING WATERS COMMUNITY HEALTH CEN,NLP,NLP,NLP,5,06/29/2022 12:00:00 AM
2022-07-11T04-15-25,97828,WINDING WATERS COMMUNITY HEALTH CEN,NLP,NLP,NLP,5,06/29/2022 12:00:00 AM
