2022-02-18T16-04-21,10605,Burke Rehabilitation Hospital,02/17/2022 12:00:00 AM,,5,0,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,10605,Burke Rehabilitation Hospital,02/24/2022 12:00:00 AM,,10,10,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,10605,Burke Rehabilitation Hospital,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,10,10,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,10605,Burke Rehabilitation Hospital,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,10,10,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,10605,Burke Rehabilitation Hospital,NLP,NLP,NLP,10,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,10605,Burke Rehabilitation Hospital,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,10605,Burke Rehabilitation Hospital,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,10605,Burke Rehabilitation Hospital,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,10605,Burke Rehabilitation Hospital,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,10605,Burke Rehabilitation Hospital,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,10605,Burke Rehabilitation Hospital,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,10605,Burke Rehabilitation Hospital,NLP,NLP,NLP,10,03/19/2022 12:00:00 AM
