2022-03-08T14-40-56,80907,Future Innovative Treatments,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,15,,
2022-03-16T18-51-35,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/08/2022 12:00:00 AM
2022-03-18T11-17-38,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-28T06-21-17,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-29T08-50-48,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-30T09-27-07,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-31T08-53-07,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-31T15-09-22,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-01T06-54-45,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-02T06-05-59,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-03T05-51-54,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-04T05-38-24,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-05T05-48-33,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-06T05-45-18,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-07T05-34-07,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-08T05-48-29,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-09T05-41-09,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-10T09-31-27,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-11T07-06-23,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-12T07-06-55,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-13T09-20-57,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-13T11-55-39,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-14T09-18-06,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-15T06-03-51,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-16T05-33-42,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-17T05-32-24,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-18T05-31-10,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-19T05-39-24,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-20T05-27-37,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-21T05-29-54,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-22T05-26-18,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-04-23T05-25-10,80907,Future Innovative Treatments,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
