2022-03-08T14-40-56,80015,Rely Primary Care,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,5,,
2022-03-24T13-46-29,80015,Rely Primary Care,NLP,NLP,NLP,6,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,80015,Rely Primary Care,NLP,NLP,NLP,6,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,80015,Rely Primary Care,NLP,NLP,NLP,6,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,80015,Rely Primary Care,NLP,NLP,NLP,6,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,80015,Rely Primary Care,NLP,NLP,NLP,10,03/26/2022 12:00:00 AM
2022-03-28T06-21-17,80015,Rely Primary Care,NLP,NLP,NLP,10,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,80015,Rely Primary Care,NLP,NLP,NLP,10,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,80015,Rely Primary Care,NLP,NLP,NLP,10,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,80015,Rely Primary Care,NLP,NLP,NLP,10,03/29/2022 12:00:00 AM
2022-03-31T15-09-22,80015,Rely Primary Care,NLP,NLP,NLP,10,03/29/2022 12:00:00 AM
2022-04-01T06-54-45,80015,Rely Primary Care,NLP,NLP,NLP,10,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,80015,Rely Primary Care,NLP,NLP,NLP,10,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,80015,Rely Primary Care,NLP,NLP,NLP,10,04/03/2022 12:00:00 AM
2022-04-04T05-38-24,80015,Rely Primary Care,NLP,NLP,NLP,10,04/03/2022 12:00:00 AM
