2022-03-03T10-04-44,89502,Elite Health,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,105,,
2022-03-08T14-40-56,89502,Elite Health,03/01/2022 12:00:00 AM,03/08/2022 12:00:00 AM,130,,
2022-05-05T09-49-47,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-06T06-12-41,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-07T05-45-31,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-08T10-02-59,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-09T05-08-14,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-10T06-06-54,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-11T06-51-12,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-12T07-16-49,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-13T06-07-31,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-14T08-49-14,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-15T05-54-13,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-16T05-54-24,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-17T05-27-38,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-18T05-40-23,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-19T05-25-31,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-20T05-59-40,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-21T05-54-21,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-22T09-07-10,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-23T07-42-39,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-23T07-42-39,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-23T07-42-39,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-23T07-42-39,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-23T07-42-39,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-23T07-42-39,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-23T07-42-39,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-23T07-42-39,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-23T07-42-39,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-23T07-42-39,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-23T07-42-39,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-23T07-42-39,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-23T07-42-39,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-23T07-42-39,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-23T07-42-39,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-23T07-42-39,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-24T05-46-03,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-24T05-46-03,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-24T05-46-03,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-24T05-46-03,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
2022-05-24T05-46-03,89502,RENOWN HEALTH,NLP,NLP,NLP,0,03/08/2022 12:00:00 AM
