2022-02-18T16-04-21,36116,BAPTIST MED CTR SOUTH,02/15/2022 12:00:00 AM,,15,,
2022-03-03T09-56-49,36116,BAPTIST MED CTR SOUTH,02/21/2022 12:00:00 AM,,75,,
2022-03-03T10-04-44,36116,BAPTIST MED CTR SOUTH,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,125,,
2022-03-08T14-40-56,36116,BAPTIST MED CTR SOUTH,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,125,,
2022-06-24T04-15-26,36116,BAPTIST MED CTR SOUTH,NLP,NLP,NLP,10,06/23/2022 12:00:00 AM
2022-06-25T04-15-18,36116,BAPTIST MED CTR SOUTH,NLP,NLP,NLP,10,06/23/2022 12:00:00 AM
2022-06-26T04-15-17,36116,BAPTIST MED CTR SOUTH,NLP,NLP,NLP,10,06/23/2022 12:00:00 AM
2022-06-27T04-15-31,36116,BAPTIST MED CTR SOUTH,NLP,NLP,NLP,10,06/23/2022 12:00:00 AM
2022-06-28T04-15-44,36116,BAPTIST MED CTR SOUTH,NLP,NLP,NLP,3,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,36116,BAPTIST MED CTR SOUTH,NLP,NLP,NLP,3,06/27/2022 12:00:00 AM
2022-06-30T04-15-32,36116,BAPTIST MED CTR SOUTH,NLP,NLP,NLP,3,06/27/2022 12:00:00 AM
2022-07-12T04-15-22,36116,BAPTIST MED CTR SOUTH,NLP,NLP,NLP,1,07/11/2022 12:00:00 AM
2022-07-13T04-15-22,36116,BAPTIST MED CTR SOUTH,NLP,NLP,NLP,1,07/11/2022 12:00:00 AM
2022-07-14T04-15-29,36116,BAPTIST MED CTR SOUTH,NLP,NLP,NLP,1,07/11/2022 12:00:00 AM
2022-07-15T04-15-46,36116,BAPTIST MED CTR SOUTH,NLP,NLP,NLP,1,07/11/2022 12:00:00 AM
2022-07-17T04-15-18,36116,BAPTIST MED CTR SOUTH,NLP,NLP,NLP,7,07/14/2022 12:00:00 AM
2022-07-18T04-15-21,36116,BAPTIST MED CTR SOUTH,NLP,NLP,NLP,7,07/14/2022 12:00:00 AM
2022-07-18T07-55-19,36116,BAPTIST MED CTR SOUTH,NLP,NLP,NLP,7,07/14/2022 12:00:00 AM
2022-07-19T04-15-25,36116,BAPTIST MED CTR SOUTH,NLP,NLP,NLP,3,07/18/2022 12:00:00 AM
2022-07-20T04-15-41,36116,BAPTIST MED CTR SOUTH,NLP,NLP,NLP,3,07/18/2022 12:00:00 AM
2022-07-21T04-15-40,36116,BAPTIST MED CTR SOUTH,NLP,NLP,NLP,3,07/18/2022 12:00:00 AM
2022-07-22T04-15-29,36116,BAPTIST MED CTR SOUTH,NLP,NLP,NLP,9,07/21/2022 12:00:00 AM
